,naNe,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_neg,29M_neg,maxint,mean1,sd1,mean2,sd2,3M1_1,3M1_2,3M2_1,3M2_2,3M3_1,3M3_2,3M4_1,3M4_2,3M5_1,3M5_2,3M6_1,3M6_2,3M7_1,3M7_2,3M8_1,3M8_2,29M1_1,29M1_2,29M2_1,29M2_2,29M3_1,29M3_2,29M4_1,29M4_2,29M5_1,29M5_2,29M6_1,29M6_2,29M7_1,29M7_2,29M8_1,29M8_2,Mode
119,N191T4_1,6.491692823,-2.698594735,-4.694564851,6.43E-05,0.000337762,DOWN,191.0006288,191.0003806,191.0007792,3.500566667,3.4725,3.572166667,18,3,15,80451.359,510115.8812,293341.599,78579.79345,221690.3498,848244.7126,13228.95561,436288.0448,443413.5658,572058.5988,653368.4492,906008.5659,273096.6998,521376.4347,538891.7271,702456.5759,710439.7155,739900.4936,767799.1662,16962.24966,18320.14425,30053.31826,32529.44366,39573.29842,45304.12493,14490.92759,13748.35861,16335.52865,16038.47523,909056.3943,12717.3123,14548.36632,11907.95424,29852.62795,26996.2491,22601.28415,21523.03158,Neg
120,N146T4_6,1.32038151,0.400954841,4.832556384,6.55E-05,0.000339111,UP,146.0456098,146.0455043,146.0457892,3.589366667,2.013333333,3.8275,40,16,16,1596997.5,15529126.31,2028431.398,20504371.25,3583889.455,16387567.91,17253823.55,13876408.16,14745037.39,11097619.65,12568342.57,15288360.46,16326673.05,16486069.88,17949871.55,17700351.2,18675460.98,13757158.86,14815711.75,15316782.77,16220781.18,17642401.03,18470600.57,16714749.59,18158049.63,17647231.25,18918764.25,16816414.16,16348112.81,20694788.52,19507780.97,26846453.75,25946657.49,24278432.65,22712421.38,25770917.8,21596164.1,Neg
121,N365T23_1,2.329337695,-1.219919809,-4.632571005,6.57E-05,0.000339111,DOWN,365.2651126,365.2646128,365.269001,22.89766667,22.8525,22.96183333,14,2,12,12535.337,59169.62595,20788.34144,25401.90977,20444.13901,56216.58344,55908.72451,12612.40428,63639.69014,60582.31563,65924.41125,60075.98622,56101.65817,77916.32497,73502.05153,67354.7466,5770.894933,72336.8517,72761.94651,72187.4056,73822.01971,19306.59188,16253.81864,62538.76826,13079.74074,15837.98333,18575.48422,12614.34329,6541.107,52847.74392,16113.13293,24620.33789,9867.559312,70661.93867,11846.2372,45674.08678,10051.68218,Neg
122,N271T4_1,2.020505323,1.014716152,5.01419981,7.15E-05,0.000366091,UP,271.0027422,271.0023551,271.0033137,4.2956,4.261133333,4.432183333,32,16,16,62557.02,144910.4986,43052.90214,292792.4338,109833.9217,169411.9048,182412.0977,103230.633,101182.8465,79229.94617,83867.09669,189401.8982,180901.3121,176645.2901,194654.8078,158988.7662,154630.8093,85864.52914,105520.1759,181196.4725,171429.3918,217776.3478,216938.2181,196437.3153,198665.4203,217952.1113,219929.0885,268877.9605,326955.4558,303505.7088,270868.3395,263967.8472,312002.3616,526594.0998,578849.615,294636.3522,270722.6993,Neg
123,N300T3,1.658448288,-0.729834028,-4.763901824,7.24E-05,0.000367788,DOWN,300.0474959,300.0471496,300.04804,3.4759,3.422483333,3.709666667,24,15,9,5562.572,43228.12377,12380.60205,26065.40347,7374.773241,59186.15851,65914.07648,66447.53719,55091.82109,25397.33181,34632.73441,42961.45268,30756.45195,37530.82057,39161.95597,31722.80272,45099.33038,33018.15283,43446.45431,40737.58975,40545.3096,16545.5303,14753.3196,17371.18322,14004.61537,22273.03311,29341.14364,26704.61285,26138.53589,36720.31021,30194.84881,34444.81744,25947.1348,26398.84459,26817.43534,35008.6504,34382.44001,Neg
124,N174T4_3,3.385964901,1.759567018,5.299027088,8.02E-05,0.00040401,UP,174.056977,174.0568047,174.0571636,3.552866667,3.509766667,3.6192,14,0,14,4226.535,7550.57363,1723.535306,25565.9773,13489.36517,7025.231526,9497.966211,5934.159383,7948.433705,4488.378938,8082.04268,9375.662997,4932.096596,8491.657004,9962.19909,9479.224744,6974.147746,7368.841321,8902.243017,7029.541964,5317.351164,11778.57235,14402.0513,12262.6159,11123.59835,48420.77437,48292.0465,25461.54865,18837.35603,16432.50479,16966.30466,21681.74484,19325.58969,46454.49156,42486.32996,28796.0075,26334.1003,Neg
125,N132T4_4,1.678177317,0.74689516,4.628753431,8.15E-05,0.000407101,UP,132.2721639,132.2720249,132.2723246,3.515133333,3.487733333,3.755816667,25,9,16,2413.17,15474.53058,7376.217065,25969.00622,5276.092767,8876.564967,29593.8928,5620.730099,22118.03182,4031.750371,17503.61327,8656.796241,19313.95248,11226.09504,20864.89987,9295.808536,17433.21507,10997.18596,18753.2265,17211.63823,26095.08807,18455.63368,28522.57135,23645.29198,33316.44881,17978.57884,21449.25558,21977.00881,23796.51585,29438.99092,28013.24748,28772.07435,23517.17852,34849.76912,27320.91658,33403.08744,21047.53017,Neg
126,N217T4_2,1.885618278,-0.915037648,-4.552899674,8.21E-05,0.000407101,DOWN,217.0522409,217.0510261,217.0524634,3.77745,3.606166667,4.003783333,35,16,16,55959.535,465969.4617,135602.6886,247117.5991,136313.8796,461455.3855,594367.7743,737893.408,600460.3361,447807.7229,502896.9256,269986.775,300017.3595,437735.7002,504918.0588,212804.4536,366362.5066,589554.9055,458205.1745,545585.3993,425459.5015,129074.3966,151213.1289,396656.482,473534.7827,177829.1644,188720.719,334613.1935,362539.7644,487912.595,345792.8044,81923.32972,72946.12175,194353.3243,275478.2862,164837.925,116455.568,Neg
127,N88T5_6,1.590079098,0.669098534,4.489274711,9.83E-05,0.000483632,UP,88.44266587,88.44256076,88.44275771,5.158116667,4.661033333,5.199433333,57,16,16,8373.023,56128.67523,21191.78418,89249.03328,20537.453,27307.52042,74336.87433,18479.68257,62036.0833,21826.95743,56118.30867,40930.6149,75109.94042,49566.80025,84460.63694,54532.09193,84729.1937,48881.58603,72182.29188,52371.08089,75189.1401,51623.68929,68337.49449,63340.80016,79901.88744,74756.61368,89536.36817,86740.59306,95165.12784,98547.69804,95232.30371,98643.22099,83880.57958,135943.2689,113367.8733,109857.992,83109.0218,Neg
128,N148T4_2,1.371479991,0.455733574,4.619346995,0.000100075,0.000488623,UP,148.0497285,148.0433443,148.0499738,3.611475,3.56255,3.841483333,40,16,16,8047.186,49861.8784,8426.246726,68384.56851,13647.53481,41527.00921,54812.12573,39439.52442,45065.94392,35985.56019,36140.90272,48790.73629,51679.75159,52484.64451,54688.55934,58603.45107,66592.71235,48946.61938,56073.19065,52467.92538,54491.3976,61084.82196,64692.56915,58262.49813,63590.90962,62427.75153,44576.66468,58298.10135,52318.00912,67473.64522,63305.80487,90248.85986,78057.12125,92276.22835,86676.25314,79694.99773,71168.86024,Neg
129,N111T4_3,1.587859277,0.66708306,4.766759194,0.000101005,0.000489342,UP,111.0002482,111.0001032,111.0003086,3.535391667,3.50195,3.755816667,32,16,16,10734.042,78889.59017,16484.15699,125265.5676,35252.50629,106338.2597,92022.44135,66088.22113,55864.34669,70091.52267,62423.25699,94760.95577,86707.98079,66355.00801,59203.18022,80847.87802,73666.81869,73885.66589,69344.08203,103863.2294,100770.5955,153029.1002,158314.2087,180713.2581,192194.9321,89834.47592,83800.6914,98028.18069,94173.23388,104526.7063,96336.29931,100890.8133,88736.98029,153560.9429,144595.6264,138178.1795,127335.4526,Neg
130,N111T4_4,1.569926171,0.650696715,4.738636361,0.000116645,0.000560767,UP,111.0086319,111.0085254,111.0087295,3.535391667,3.493766667,3.755816667,32,16,16,513773.906,3844527.919,745477.47,6035624.996,1692670.211,5226239.73,3972269.434,3247987.372,2785020.706,3482877.34,3287586.49,4469538.952,3694195.111,3284064.963,3067332.187,3989018.066,3697833.407,3638005.275,3543050.275,5138070.011,4989357.392,6816863.332,7746560.193,8805021.996,9135365.409,4477907.031,4350027.705,4752189.061,4669198.965,5170146.211,4019347.644,5142988.346,4108229.824,7111501.871,7327614.428,7121102.278,5815935.646,Neg
131,N88T5_1,1.579924848,0.659855936,4.40486851,0.000124807,0.000595424,UP,87.64035579,87.64027188,87.64044515,5.155108333,4.661033333,5.199433333,58,16,16,8954.001,60766.45886,23198.12971,96006.43827,22043.29189,29251.59803,80374.17971,20358.42496,68081.13095,23326.35164,60880.4602,43988.32656,81775.0603,52810.45274,92289.26636,57395.93529,92702.17619,52858.12938,79143.3705,56785.01983,80243.45906,54945.05796,73781.72303,66902.39275,87413.31143,80390.84463,98296.1259,94173.53817,102423.2806,106684.9388,100800.8079,106803.7623,90110.08723,145727.502,120764.9378,117760.0871,89124.6147,Neg
132,N191T4_2,2.122223189,1.085576389,4.785721616,0.000125891,0.000596046,UP,191.019536,191.0193762,191.0197526,3.507233333,3.450016667,3.72545,32,16,16,175147.141,850829.1367,280721.3813,1805649.324,747055.0087,1006761.25,1118452.26,444381.6402,506985.7542,690474.4062,726742.3245,968556.7734,841285.3661,562868.9189,545174.3937,841199.2603,886890.9525,872225.9705,844983.2625,1459665.167,1296618.487,2653453.147,2384337.768,3310711.582,3106401.555,1495447.741,1409448.528,1234545.269,1241352.897,1206171.132,1072975.946,1151025.038,1000104.731,2291065.131,2166276.251,1694866.428,1472206.037,Neg
133,N88T5_5,1.374488311,0.458894638,4.566508263,0.000131453,0.000617701,UP,88.06253898,88.06247406,88.0626677,5.161858333,5.137983333,5.174383333,8,0,8,1810.793,13694.37365,2181.284631,18822.7565,3927.033064,13940.90967,14773.3536,10605.0589,11784.79516,9310.369082,10407.68636,14344.68518,13491.82877,15894.48636,16671.61251,16348.46885,15715.75034,14412.04647,12956.84678,14296.73788,14155.34242,13373.54512,13246.08031,15627.51969,14772.61358,17565.14866,16334.66623,19560.71236,22077.87863,20996.86487,17992.96802,19948.42125,17508.99884,27744.45631,24068.24315,21881.54973,18464.43732,Neg
134,N363T3,2.238475019,1.162516218,4.668748634,0.000135506,0.000628167,UP,363.0522527,363.0516987,363.0561069,3.493883333,3.436316667,3.555983333,8,0,8,2912.131,5825.070575,2516.752367,13039.27496,5645.247388,7898.712037,5438.010017,3865.571503,3371.940312,6050.396168,4310.515906,10619.53883,154.0404816,5616.953969,6999.882693,4769.650685,3777.662294,6036.495366,7607.511752,7799.447165,8884.800015,7488.374566,7091.843602,10501.71885,12936.11905,15696.04548,6353.305416,11519.72904,15129.92768,8057.289735,7933.87916,10640.40652,26807.01564,13807.15202,17209.03429,21733.35611,15723.20228,Neg
135,N283T5,1.665089992,0.735600152,4.628754664,0.00013569,0.000628167,UP,283.1124236,283.1120121,283.1127499,5.174383333,5.137983333,5.202883333,31,16,15,10826.442,47756.24985,11896.62437,79518.45369,24735.5674,40458.24663,43970.59842,31973.00194,34552.17339,28574.7319,30980.52395,55332.02591,54756.7691,60338.01926,63977.92078,59530.65076,64599.04551,46692.5642,45584.24053,51640.58799,51138.89742,43499.17702,41093.87622,56850.94837,54226.75751,79079.53619,71386.86932,79317.43445,84616.84634,105516.0925,89009.42984,79754.2904,68751.91663,139926.9092,100130.9714,89807.01935,89327.18427,Neg
136,N87T5_2,1.279817391,-0.355937976,-4.414445202,0.000138628,0.00063705,DOWN,87.00263592,87.00254195,87.00274501,4.8133,4.785516667,4.8848,32,16,16,4542.975,71620.98921,11345.70531,55961.88152,8520.67147,98872.37964,75098.70711,86761.00998,73837.54877,71117.39146,59273.88665,79801.33088,67020.0735,83068.89964,69361.07854,71929.30374,61118.34645,68879.0593,57933.73919,64885.52707,56977.5455,62937.97107,53857.67308,61906.59295,52519.38677,79135.00334,46391.36681,56426.06695,47933.67115,62549.14726,52696.4206,53449.32705,43746.30977,61972.24282,55537.27433,55388.75445,48942.89596,Neg
137,N362T4,2.593310392,1.374794892,4.872325866,0.000143463,0.000654453,UP,362.0491158,362.0483717,362.0533291,3.531116667,3.402,3.702733333,33,15,16,22475.375,48465.92823,15848.48314,125687.1953,61382.85525,45516.59572,49981.1378,44119.79742,23939.14109,35530.02972,37308.52604,89026.84185,41594.05213,31852.98818,36833.32536,52648.91639,46820.78675,61433.70381,51557.30574,70042.84839,57248.85525,33378.85305,67203.42861,115697.1265,102598.7017,110251.2602,86072.63522,170978.3827,150783.2265,109226.1198,67677.69274,278642.155,217366.1846,129002.7001,73618.73995,158900.9699,139596.9484,Neg
138,N193T4,1.747201226,0.805045773,4.826824458,0.000147137,0.00066635,UP,193.0345519,193.0341697,193.0349703,3.63465,3.583383333,3.813433333,27,12,14,5577.398,15017.40233,2559.267077,26238.42375,8939.765926,14299.20182,11195.38721,12121.29731,13467.1981,15397.44592,16650.36949,16190.62903,16047.68843,11111.53392,12944.27787,13019.07487,20251.13981,15898.9493,16582.903,17347.2027,17754.13843,27346.88322,28111.11524,16258.26126,20794.42427,28064.40489,29957.36788,20169.72338,18564.48894,25449.281,19642.51826,22578.13269,38246.45723,18527.83404,18448.1041,46203.94744,41451.83612,Neg
139,N146T4_7,1.312441674,0.392253309,4.525829013,0.0001553,0.000698261,UP,146.0582863,146.058195,146.0584861,3.596791667,3.56255,3.8275,32,16,16,29011.764,280680.5703,36175.69343,368376.8774,68547.17993,287815.0884,313686.3635,251078.7272,266239.7345,202041.8793,222639.6907,282198.2857,296947.3,300631.3365,321219.4225,318937.1033,334772.1259,249185.8269,283662.9319,271183.0075,288650.3009,314885.6653,331428.7463,300149.3985,307836.1003,317913.7138,305510.938,319790.7631,297393.1522,360612.0796,351120.4765,493995.2433,467223.4072,446236.7811,410350.2437,462009.9551,407573.3743,Neg
140,N134T4_2,1.374318958,0.45871687,4.34030101,0.000157818,0.00070451,UP,134.0173369,134.0171821,134.0174442,3.511691667,3.420166667,3.740816667,32,16,16,6297.539,37354.64007,8217.780993,51337.19,9925.899957,43781.9382,57567.06777,37875.28172,40833.39429,22274.31252,28019.51132,31287.22814,34774.01037,36839.85723,39552.39999,31578.12546,34382.94018,34557.98026,33937.40613,44060.42437,46352.36312,44542.48709,32141.55989,60752.88886,60296.29817,39269.94385,38999.81703,47715.06137,43848.96048,50312.79934,54434.70322,56568.34709,48474.21505,66379.37569,65792.47084,57274.04179,54592.07027,Neg
141,N112T6,1.858952478,0.89448989,4.661509827,0.000161386,0.00071533,UP,112.0515805,112.0515087,112.0516675,6.286433333,6.254583333,6.318683333,32,16,16,11093.038,100597.3119,26818.77562,187005.6222,69126.06085,74656.93616,133695.3764,52986.67653,95486.84031,100040.0013,69769.72994,81749.97206,97842.57712,106724.1468,126505.6778,110432.1042,131761.7882,75087.60037,150924.351,85889.4529,116003.7588,125027.3452,176889.2837,124168.4773,163682.5405,127433.4966,171406.435,124176.6966,168076.9513,146992.1591,173771.1319,191927.3873,198747.6881,396520.2057,269832.338,198260.7157,235177.1026,Neg
142,N154T4,1.342141998,0.424537316,4.329793694,0.000165047,0.000726406,UP,154.0270321,154.0268354,154.0272056,3.632066667,3.5694,3.86995,32,16,16,5016.926,35047.11146,8618.765097,47038.20018,6959.406959,41967.85106,40347.1317,19926.01059,21034.23242,26685.04537,32385.83529,32505.13183,42912.6188,30099.6443,34516.32721,51322.33747,40623.07067,38905.00584,29263.33923,44853.14669,33407.05487,43470.47708,45397.43832,41313.96301,52194.0479,54918.94266,27323.08027,41456.3621,44998.93614,43416.93903,48453.45727,54057.65249,51498.18626,53217.85354,50957.48798,52272.85062,47663.52827,Neg
143,N127T5,1.312459659,0.392273079,4.351157934,0.000180819,0.000790258,UP,127.0511069,127.0510002,127.0512608,5.0707,5.0393,5.09275,32,16,16,10676.029,93230.19071,22148.4069,122360.8643,15053.24822,91114.09262,116290.685,72952.3545,78829.22758,52563.31672,61476.55073,83371.52821,92080.85543,119833.9493,130173.4938,118176.3168,113993.5685,77636.70279,95823.90006,87915.04954,99451.45981,124687.8816,138796.8453,125094.5657,137412.7996,93472.27711,100764.1532,124011.1575,132518.2663,120069.1361,109267.6076,104533.3974,117830.2427,140196.3094,147370.9558,123995.8207,117752.4124,Neg
144,N146T4_5,1.301643974,0.380334896,4.454609679,0.000185984,0.000807184,UP,146.0329302,146.0327931,146.0330952,3.596791667,3.56255,3.8275,32,16,16,30002.963,281725.8526,35533.75183,366706.7583,67530.04348,286760.8052,315625.9541,255706.4695,266701.8949,203101.8493,224785.4332,278526.0598,296377.6508,296062.8215,321608.8218,319511.666,336362.0262,252307.9777,283745.8701,277776.0663,292652.2751,317826.2304,332367.5174,299112.0154,313310.712,330473.8503,307695.8743,300829.32,295654.1659,362481.4457,345753.0732,501865.8827,458120.4174,450269.191,402154.2738,449050.6371,400343.527,Neg
145,N112T4_2,1.950284333,0.963684471,4.602876142,0.000192879,0.0008145,UP,112.0120163,112.0118767,112.0150415,3.519316667,3.450016667,3.755816667,33,16,16,25516.533,109025.5561,31325.57074,212630.8339,84410.04172,114010.5026,122949.5446,151349.3768,66046.76525,123320.3035,88245.286,106346.497,122301.5619,81272.54116,66377.30087,89694.57119,86861.3864,99723.10529,97052.14904,153951.66,174906.3455,263744.5095,351187.7364,342787.3469,355044.8824,170848.5349,150812.6985,175452.5688,150772.2272,116122.1332,111248.6487,143483.7669,116932.9684,251334.7167,247653.5539,241084.4731,213582.5771,Neg
146,N102T4_3,1.361248193,0.444930133,4.569255761,0.000193293,0.0008145,UP,102.0484994,102.0483699,102.048591,3.604975,3.56255,3.841483333,32,16,16,25110.471,231648.7182,27196.64449,315331.399,68021.72261,243557.8878,261332.4167,212354.488,221729.3955,172459.4335,187395.6555,240858.1987,256552.5009,248829.0828,258983.8406,251173.9216,266000.304,214476.1035,209759.6306,225260.7307,235655.9007,267211.0417,273257.8227,243276.8741,249203.3345,280454.2422,264791.4052,246039.213,264867.3412,318889.3711,306549.1209,454346.8807,451305.0362,353615.9705,357052.898,359984.8854,354456.946,Neg
147,N88T5_2,1.544037041,-0.626707363,-4.476315108,0.000193758,0.0008145,DOWN,88.01188239,88.01177828,88.0176792,4.83565,4.78715,5.188016667,39,16,16,5359.758,54184.19291,15343.49763,35092.5473,7458.257837,67923.2952,54567.16985,101166.8214,49213.62608,54644.48195,58165.44149,55989.45952,64946.70962,51662.97658,46849.92161,50930.49883,41185.50449,48038.2127,32485.64083,49212.41723,39964.90923,40985.5446,31989.26995,41615.13486,30604.71709,41160.71801,28131.28947,51120.92195,30579.87975,36856.34312,31647.82008,19905.66683,28816.95324,37375.41955,31567.98568,42893.76628,36229.32641,Neg
148,N250T5,1.518439029,0.60258898,4.455813081,0.000194051,0.0008145,UP,250.0199215,250.0196909,250.0201457,5.162433333,5.132416667,5.202883333,19,5,14,2279.078,16077.74244,3381.138081,24413.07161,6675.181409,13770.0434,21798.62286,10626.93492,14555.68914,11536.27965,13538.98281,14604.39683,13419.16766,15482.5069,19499.33887,17479.87948,21614.47529,15661.99508,17799.01007,15645.40987,20211.14619,15089.48982,19667.65757,17956.15655,21656.29078,21420.6779,21418.76618,19233.64637,22980.97859,21682.62092,18890.01581,26872.40876,29940.72686,34560.44653,38964.36108,28134.4214,32140.4807,Neg
149,N323T3_1,3.688467036,1.883021342,4.82896584,0.000194186,0.0008145,UP,323.0281156,323.0264718,323.0288995,3.461833333,3.402,3.785016667,33,16,16,167579.828,175234.0476,59823.39805,646345.0081,385624.8352,176056.8092,93875.26196,75497.18703,127927.9158,181920.0289,105963.2787,233171.2001,176159.8363,212408.8099,231103.4245,137714.4349,127896.1583,177221.0799,287278.9228,226842.1457,232708.2673,169745.8391,150135.3197,450424.1215,330808.347,525223.8557,254465.4141,887891.914,511079.5666,428211.9074,382772.6019,1102760.534,1323914.43,711259.3052,749270.0769,1152252.07,1211304.827,Neg
150,N113T5_2,1.602543778,0.680363769,4.366474124,0.000196891,0.000820342,UP,113.4667329,113.466631,113.4668671,5.113941667,5.08295,5.145083333,24,8,16,2354.54,19476.24946,9194.964229,31211.5424,5569.819353,7833.468765,27068.17876,5885.906484,26167.5765,5168.425939,18442.17111,12384.59497,29424.68432,15178.13843,32355.99084,15549.57764,30855.80649,15081.90389,27708.79967,15435.14873,27079.61886,22686.35588,35541.28893,22835.47558,32829.37926,21897.63089,31050.90097,25115.73106,31199.74034,33132.90066,37074.7458,34558.98565,34024.4443,39975.05278,36541.54576,33076.03017,27844.4703,Neg
151,N116T4_4,2.443983825,1.289234737,4.706414844,0.000208275,0.000856422,UP,116.035162,116.0350405,116.0352823,3.625275,3.5883,3.8557,32,16,16,18939.82,51094.39232,15115.556,124873.8684,60856.34387,62085.17391,78738.59826,52602.08181,57068.49079,30328.27916,28410.55496,70002.28646,73059.07498,52012.64941,55416.03602,42979.90184,56765.59824,33833.79153,44932.19627,38506.79637,40768.76716,68430.41039,73247.42741,65491.79318,75887.50883,94249.72754,104612.0937,88717.61142,92248.74551,148756.3231,164326.6714,223253.192,252204.0209,81234.51572,86086.18723,178560.5605,200675.1053,Neg
152,N191T3,6.196708562,-2.631502118,-4.278607209,0.000208291,0.000856422,DOWN,191.0384956,191.0384021,191.0387463,3.497866667,3.476683333,3.72545,19,4,15,84738.234,497886.5846,317189.5728,80346.9422,227518.5093,859820.2674,13955.94576,443518.4146,443413.5658,572058.5988,653368.4492,906008.5659,9363.223535,524050.0216,538891.7271,711021.9431,732417.8491,739900.4936,782550.3179,16551.32261,19294.64837,30336.60443,35456.4681,39049.80994,45915.0775,15242.29385,14617.30347,14959.89361,16461.91981,12211.35413,12433.49117,14491.26072,932638.8273,30750.64437,29670.10174,21172.1244,20143.9007,Neg
153,N103T4_2,1.377156966,0.461693005,4.413578552,0.000221753,0.000905811,UP,103.059298,103.0591536,103.0593925,3.615141667,3.57075,3.841483333,32,16,16,43417.633,388565.0452,58783.82671,535115.0589,119100.4831,410568.367,423150.6949,323391.1022,364071.3827,267629.883,301040.418,388322.5526,430247.1242,447858.2905,441932.1117,422493.5423,455331.813,316977.0524,452513.0077,379463.1646,392050.217,498241.9298,524423.6979,407056.5222,418891.6012,462022.612,442877.7856,401139.8345,429143.9213,483176.5398,533574.1994,728567.9269,730096.3355,572408.1908,591810.9802,570066.1981,768342.6677,Neg
154,N146T4_3,1.300332557,0.378880636,4.303040794,0.000226993,0.000921194,UP,145.9976903,145.9975357,145.9978454,3.600183333,3.559116667,3.8275,32,16,16,3099.275,27274.30603,4000.978995,35465.66809,6478.62482,25850.14277,32842.63304,23793.65942,25745.46612,19149.07272,21326.89838,27039.87353,28820.05872,29790.83332,31652.4995,32078.42795,32494.87638,24442.56525,25352.63486,28305.96343,27703.29103,33808.5676,31252.63154,32271.73466,28342.72502,33822.48113,29027.26646,31805.29423,26545.99367,36935.43235,31804.24238,50241.14345,42242.80194,45201.3595,37521.49611,41142.15764,35485.36174,Neg
155,N102T4_4,1.375126564,0.459564407,4.498055448,0.000228538,0.000921482,UP,102.0633161,102.0631666,102.0634373,3.605783333,3.56255,3.841483333,32,16,16,24827.545,229388.0068,28332.31574,315437.5415,71083.23482,244318.1183,258275.4841,209524.394,220554.8627,170351.4487,184847.2354,244112.4331,251685.3912,251363.8068,254900.9739,251937.727,262529.9631,198068.3937,208512.7584,220389.7456,238835.3728,266459.9774,273830.4548,246135.2834,244850.0587,289366.8831,263419.1242,245493.4945,241795.9291,313747.9163,310295.0902,457301.2305,456916.6603,346367.824,361845.0614,370218.3196,358957.3567,Neg
156,N128T4_5,1.484715686,0.57018669,4.517108735,0.00024416,0.000978158,UP,128.0351738,128.0349867,128.0352733,3.605241667,2.937183333,3.841483333,34,16,16,1493930.25,10772780.48,1545020.839,15994516.16,4358204.044,11041996.61,12331192.38,9330822.935,9954899.181,7972026.468,8437456.515,11919548.08,12322501.07,11725753.55,12080787.29,12236805.59,12927409.7,9125731.281,9590485.328,10609321.76,10757749.96,13544476.33,13836143.26,11985537.83,12040710.55,14703057.87,14178101.35,11869527.07,11760949.19,15032259.04,15242882.51,26622596.59,24744446.48,17210911.1,16788970.94,18208291.33,18143397.08,Neg
157,N146T4_11,1.474994799,0.560709867,4.293693595,0.000246626,0.000981746,UP,146.0936443,146.0934242,146.0946534,3.593425,3.538183333,3.841483333,32,16,16,3093.781,22896.32778,5116.726792,33771.96438,8744.773881,17682.07449,22927.42207,12141.12882,19567.72408,18915.27172,21504.00019,24991.67317,29151.31763,26172.43443,25891.74331,29538.47073,20961.16255,22065.10431,26986.96014,17200.42744,30644.32934,33988.33933,31233.89587,29734.29379,27164.57053,28720.58484,19214.32976,33119.34679,21639.69854,37449.35214,33054.69446,50725.42617,39695.65562,45184.36526,37717.82203,45966.98505,25742.06994,Neg
158,N748T3,2.233191552,-1.159107004,-4.244655447,0.000248253,0.000981967,DOWN,747.5230644,747.5113011,747.5246711,3.186766667,3.00425,3.567433333,33,16,6,5462.95,36301.88959,16641.43726,15184.38446,10912.62932,14485.37312,26608.45175,46829.46135,19708.4469,40687.43901,72933.60721,34134.60684,26488.31241,29495.98407,24441.3391,24265.57449,32498.81843,44067.35753,71265.7541,29155.96328,43763.7438,18820.94773,29765.9892,17855.29598,39518.50776,14652.37505,6556.842852,24517.16925,15332.9939,11919.86264,15996.49158,0,0,20498.41775,20428.33582,3770.110182,3316.811648,Neg
159,N115T5_1,1.599620017,0.677729239,4.234698789,0.000267617,0.001043281,UP,114.6496709,114.6496402,114.6498143,5.115141667,5.08295,5.145083333,24,8,16,2260.364,18786.6314,9024.088897,30051.47163,5637.934313,7596.505143,26433.54812,5581.784251,25705.49314,4728.103176,18267.55391,12043.70594,28933.86482,14325.98585,31532.81612,14091.43053,29947.41962,14255.37417,26192.43967,15035.17016,25914.90777,21007.67634,34393.42099,21276.9587,32493.74947,20705.13737,31253.97561,24030.92177,29928.40679,32415.02292,35610.02521,33669.51914,32413.12403,39084.68826,34120.69494,31799.31426,26620.91026,Neg
160,N134T4_1,1.660826468,0.731901341,4.232318372,0.000268637,0.001043281,UP,133.7621066,133.7619823,133.7622639,3.515133333,3.487733333,3.755816667,25,9,16,2351.386,15036.55223,7959.351698,24973.10393,4984.159159,7637.669468,30323.59189,4078.692278,22603.24875,3887.545089,17015.4758,5776.313627,19268.45995,10110.73922,20565.0453,9505.302056,16680.92597,10885.57681,20167.57753,16095.97738,25982.6945,19035.50803,26343.1588,23069.50273,32555.17944,17187.52489,21749.72476,19868.09641,23892.62217,27599.78583,28898.35899,26883.18033,22657.19545,33739.2947,24553.5184,31536.6785,20000.33344,Neg
161,N89T5_2,1.376459591,0.460962257,4.27612463,0.000268762,0.001043281,UP,89.0435016,89.0434128,89.04357326,5.16345,4.658633333,5.199433333,39,16,16,26066.938,188092.2129,32514.44212,258901.3305,57707.14122,170518.2834,195232.5939,142951.3825,160429.4371,126222.8641,143211.4687,192072.4006,199757.2639,210395.5241,233425.4275,223656.1741,238438.3809,183697.5444,192131.9294,191970.3723,205364.3594,169621.5638,176863.2082,197794.6209,207136.0402,236978.4641,238213.1934,257905.7261,261226.7866,272865.2444,268994.8569,274499.3837,256071.0074,366446.343,375204.6534,300838.536,281761.6596,Neg
162,N120T25,1.173837612,0.231232841,4.133694594,0.000272124,0.001049811,UP,119.9469203,119.9468821,119.9470723,24.9745,24.90216667,25.02316667,32,16,16,9603.681,164033.158,18074.80462,192548.2905,20848.70124,153949.3045,172301.2498,142958.1624,145842.7342,130353.4379,169268.378,207365.3124,161247.0904,172549.5327,164783.5258,172489.059,168883.6718,143821.7894,171319.7637,166929.1917,180468.3243,174097.1117,156102.3903,190387.4163,165494.093,212140.8398,193258.7017,190397.3527,175410.0204,183368.4268,182799.7205,234340.3513,224804.717,196916.3069,205152.2326,208707.2313,187395.7351,Neg
