,naNe,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_neg,29M_neg,maxint,mean1,sd1,mean2,sd2,3M1_1,3M1_2,3M2_1,3M2_2,3M3_1,3M3_2,3M4_1,3M4_2,3M5_1,3M5_2,3M6_1,3M6_2,3M7_1,3M7_2,3M8_1,3M8_2,29M1_1,29M1_2,29M2_1,29M2_2,29M3_1,29M3_2,29M4_1,29M4_2,29M5_1,29M5_2,29M6_1,29M6_2,29M7_1,29M7_2,29M8_1,29M8_2,Mode
11,N179T5_3,1.517189266,-0.60140107,-7.316087003,4.59E-08,2.49E-06,DOWN,178.9905882,178.9903584,178.9908216,4.833091667,4.785516667,4.8848,32,16,16,4441.845,51465.43213,7365.485402,33921.56356,6144.506112,60109.34284,66660.30545,54473.48884,59016.57253,41390.92894,45538.16386,49427.54284,48303.34606,54454.53432,62787.41721,50305.62798,49007.97968,45057.62501,45226.02136,47187.3047,44500.71249,42767.04247,38037.49903,40597.54965,35293.74429,31129.75911,25497.93624,38377.2493,31377.08085,39425.42152,22840.86158,30054.52723,24597.89046,40117.40286,36342.32783,36242.27887,30046.44568,Neg
12,N179T5_5,1.437689866,-0.523752496,-7.728216935,4.80E-08,2.49E-06,DOWN,179.0556536,179.0549875,179.0559233,4.8249,4.304916667,4.8848,34,16,16,2435724.75,29680647.45,4002632.184,20644680.16,2419101.593,35526831.53,38101426.23,31588299.84,33907943.37,23801088.57,26602366.25,28045285.49,28505293.48,31848328.06,33961533.67,28454357.58,28297484.28,26997784.79,26372045.06,26316735.43,26563555.63,23399928.98,23148670.32,21998384.84,21808094.74,17509157.46,17510483.67,20963653.96,20584172.47,21869956.73,22174601.71,17538072.56,15585304.28,22956876.01,22919062.97,20852946.63,19495515.23,Neg
13,N161T5_1,1.414096322,-0.499880394,-7.645653953,5.33E-08,2.49E-06,DOWN,161.0305871,161.0304395,161.030812,4.832491667,4.785516667,4.8848,32,16,16,4986.506,65746.94852,8570.365522,46493.96755,5292.156648,79220.07198,81814.56225,70054.14971,75092.46909,53406.20062,58223.73329,62972.58505,63354.75304,72705.58255,74480.5947,62263.73824,61977.32885,60616.90629,58854.28807,57291.06486,59623.14766,50915.14909,49203.07267,49118.99849,47345.27624,39809.13804,37026.972,48032.46387,45835.0335,51696.46064,49815.14359,41030.4851,35666.39349,52811.37722,51231.4711,47134.24157,47231.8042,Neg
14,N99T5,1.414951176,-0.500752272,-7.489131876,6.30E-08,2.49E-06,DOWN,99.00866236,99.00856584,99.00879499,4.825008333,4.8082,4.8848,32,16,16,34796.402,437330.3092,57408.36046,309078.021,37371.06308,536609.5021,532698.5958,477223.3157,508165.7599,359383.5555,384813.0637,396819.7404,411384.8331,472313.5248,495563.5243,421968.9759,415860.1591,399896.9691,406742.5572,402910.0217,374930.8483,342996.3457,331747.1025,350860.4582,315814.2552,262542.9343,248981.4586,310332.8067,306675.0269,319405.1089,314299.2647,252953.4764,243423.8364,345324.3109,353393.9284,308495.6599,338002.3622,Neg
15,N306T4_3,1.864452834,0.898752301,7.621668998,6.36E-08,2.49E-06,UP,306.0764475,306.0759282,306.0767949,3.55535,3.523866667,3.770566667,32,16,16,1216605.625,6862881.266,1599825.605,12795518.43,2671111.054,5114717.776,5671740.035,4512647.308,4739341.887,4928963.299,5446238.301,7507169.183,7582820.216,7752690.438,8015427.612,9464258.188,9387731.276,6922439.079,7097448.205,7771035.576,7891431.876,10939156.92,11126443.44,10076938.82,10058580.01,11129327.84,11394912.51,11348420.8,10483342.57,11407825.8,11549691.71,17889917.02,17226642.79,13730481.24,14214694.54,16432781.16,15719137.62,Neg
16,N179T5_4,1.441044568,-0.527114955,-7.631865388,6.37E-08,2.49E-06,DOWN,179.0384465,179.0382192,179.0386725,4.83315,4.785516667,4.8848,32,16,16,40196.289,491220.5763,67713.09153,340878.1291,40298.13122,595606.491,632113.068,522052.4472,565687.8095,396027.9772,439457.7793,452827.4539,471103.0417,533340.4912,556835.4252,465527.1005,468050.525,449424.6071,435922.6602,445500.0633,430052.2806,381146.0587,379421.7405,361288.5183,363118.2473,287862.6755,289925.1976,341656.1789,338299.7318,371821.4507,361624.049,293439.6392,250861.6369,389621.9826,365542.9921,349097.5768,329322.39,Neg
17,N160T4_1,2.132253915,1.092379248,7.468404484,6.89E-08,2.53E-06,UP,160.0070416,160.0069044,160.0072255,3.568333333,3.523866667,3.8275,32,16,16,63469.125,242796.0572,79702.30726,517702.8434,123799.6058,151707.3482,178322.2119,140755.5567,146804.0073,171962.8198,186425.0178,232253.2887,273983.4061,258639.5759,310703.6404,377813.8011,410406.8643,243393.0509,253933.5066,292426.9298,255205.8898,486325.9495,446353.4669,404503.4818,391842.4531,408263.0927,408358.4976,459762.8294,416110.9269,431453.7091,432925.1722,669962.052,717044.4056,595865.559,634989.9614,667981.2182,711502.7196,Neg
18,N161T5_3,1.415919313,-0.501739055,-7.445877858,7.28E-08,2.53E-06,DOWN,161.0599659,161.0597841,161.0602009,4.832383333,4.785516667,4.8848,32,16,16,5069.902,65646.51157,8710.620245,46363.17265,5606.975036,78533.75955,81430.82535,73976.66716,75117.24257,54228.63119,57860.10183,61927.93642,62858.93711,72054.53208,74262.8035,61308.47924,63103.16611,58670.67798,58563.77383,59115.4925,57331.15877,51995.34303,48338.13946,50063.44847,47726.30917,41172.76855,35655.45736,47383.5693,45445.08111,50525.04379,50849.71063,38648.16526,35761.74794,51956.35148,52237.92997,46360.82485,47690.87205,Neg
19,N303T4,2.220187796,1.150681713,7.135284106,8.53E-08,2.81E-06,UP,303.4925174,303.4923639,303.4929303,3.552333333,3.523866667,3.770566667,32,16,16,14620.789,63815.59836,26883.83286,141682.6127,34390.9863,23999.00567,67426.98702,18674.59296,56589.48849,23924.91281,63349.27276,49339.69414,89132.31399,56036.43788,94612.85489,68393.3332,112506.3003,55020.87622,83827.11403,65607.39243,92608.99693,99988.99115,129781.0776,96871.05752,119551.4854,115842.968,137337.0978,120222.3782,124004.0775,135095.1493,130669.2024,221525.0106,183473.0215,165202.4025,141944.0033,196575.1817,148838.6981,Neg
20,N309T4_1,2.224213555,1.153295313,7.088165433,9.54E-08,2.96E-06,UP,308.6934959,308.6931534,308.6938542,3.552333333,3.523866667,3.785016667,32,16,16,14347.653,61444.97803,26217.20335,136666.753,33385.54476,23020.73589,65361.09883,16925.02132,53210.61974,22415.75224,62512.26984,45575.81139,84730.55764,55057.90552,91194.04577,67389.26087,108424.9193,53059.00488,80490.98528,63228.11948,90523.54056,94243.29775,123842.868,92082.81183,116678.9079,109485.4091,133848.6185,119916.1901,120771.2749,130087.2042,127278.2145,213479.6853,177962.9496,158819.9816,136677.8713,189916.6932,141576.0704,Neg
