,name,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_neg,29M_neg,maxint,mean1,sd1,mean2,sd2,3M1_A4_1,3M1_A4_2,3M1_A4_3,3M2_C1_1,3M2_C1_2,3M2_C1_3,3M2_D9_1,3M2_D9_2,3M2_D9_3,3M4_E1_1,3M4_E1_2,3M4_E1_3,3M4_E2_1,3M4_E2_2,3M4_E2_3,29M2_C1_1,29M2_C1_2,29M2_C1_3,29M2_D8_1,29M2_D8_2,29M2_D8_3,29M2_E4_1,29M2_E4_2,29M2_E4_3,29M6_E1_1,29M6_E1_2,29M6_E1_3,29M6_E4_1,29M6_E4_2,29M6_E4_3,29M6_F7_1,29M6_F7_2,29M6_F7_3,29M7_G7_1,29M7_G7_2,29M7_G7_3,29M7_H9_1,29M7_H9_2,29M7_H9_3,Mode
11,M135T4_1,1.903682592,-0.928792953,-4.695222397,0.000144331,0.01739188,DOWN,134.8649717,134.8648771,134.8651365,4.387325,3.8914,4.6618,74,24,15,17734.266,143724.136,51366.45925,75497.95147,29085.46638,259073.6279,248263.499,150762.2658,141622.9862,141049.1047,131330.4115,104067.3959,92750.81869,76356.83611,177968.3364,151040.2024,134085.026,120834.0152,120051.1952,106606.3182,54789.94807,73812.0377,55262.19698,60266.46901,60185.95447,56541.61371,73709.11973,74027.88002,68071.35191,103221.423,99166.42066,74048.84104,52613.86712,55812.13234,46337.0008,52547.76024,30504.82071,53886.741,130431.0148,78785.43915,83588.9264,144031.7025,96672.84572,133635.3282,Neg
12,M169T4_3,1.823549279,0.866749187,4.195385548,0.000164553,0.01739188,UP,168.9904246,168.9902787,168.9906184,4.403816667,4.25455,4.481816667,41,24,15,6938.618,33967.18931,15142.13693,61940.84357,26460.32351,12961.42379,21659.17397,25584.62127,28085.99939,18242.1564,24320.99161,43953.0028,44689.14376,43068.19831,32058.15338,17077.42842,28468.23752,58728.1925,59284.12448,51326.99211,88251.8729,50523.97994,47056.1667,18439.22424,15344.39546,19447.71016,87161.99631,91479.10825,89995.59106,39353.44623,37625.76755,39527.05626,58984.39392,49533.44702,47888.50212,101956.9753,84328.92354,92566.62051,73599.68255,90488.64261,90844.38166,54946.20492,54583.47825,62652.67834,Neg
13,M135T10,2.836246332,1.503982838,4.215513367,0.000174626,0.01739188,UP,135.031149,135.0311093,135.0311978,9.704641667,9.074516667,9.7369,34,21,11,11290.558,31017.72185,25189.09406,87973.89984,58017.27458,20434.28694,20145.31178,23324.85933,63168.75785,73890.79287,91561.21748,15595.5822,22514.41219,43687.82433,19115.50619,10290.98639,10761.13696,18932.70374,14911.79353,16930.656,187474.1599,197132.3205,210869.9152,19430.71356,20993.20134,20517.28364,97916.69665,140141.6729,159335.4974,28097.11244,36483.47277,48009.8862,56816.44945,65528.38325,74765.13892,95450.6748,129505.9563,140302.1029,59156.02897,76930.08721,83680.18915,39994.30824,52303.22115,70539.12348,Neg
14,M168T4_1,1.892575622,-0.920350947,-4.361826441,0.000176839,0.01739188,DOWN,167.865872,167.8655971,167.86626,4.453333333,4.4082,4.523416667,23,11,12,1045.89,10287.24727,3730.876685,5217.927897,3185.273415,8983.680681,8851.025347,13566.21926,2902.10604,3986.73177,6311.486741,11686.75455,14182.62204,13360.28301,11831.32522,12854.87728,15853.15438,8458.321334,10622.52275,10857.59868,5751.378984,9647.470245,4094.174146,2489.163994,3746.393472,5308.249156,0,0,2897.344828,10536.70845,11163.11372,11611.307,5797.308892,6207.75245,3918.997243,3303.992588,2704.671759,4205.442483,3475.540808,3051.644069,3550.844617,6416.343505,7373.825236,7978.601891,Neg
15,M171T4_2,2.189708389,1.130738754,4.251374792,0.000189587,0.017402609,UP,171.0063421,171.0061153,171.0064148,4.35335,4.273483333,4.459466667,40,24,15,88846.703,315911.4678,130867.0286,691753.991,400210.5761,157007.9918,178573.07,196292.3187,485298.8779,492078.799,541152.7326,279526.7029,277164.242,275112.1462,205417.8975,199385.2237,209765.1751,421553.8259,395840.8433,424502.1697,1151970.45,746948.0028,1260047.1,86655.73484,97080.54018,98820.71658,1337504.184,1342104.372,1423413.143,271019.2166,296306.6201,308691.5237,556698.9268,550633.272,578410.7293,761214.77,758630.5936,799222.4798,774667.8825,901635.6469,864603.2494,506441.456,568730.9851,560644.1902,Neg
16,M323T4_2,2.387259265,-1.255355257,-4.364890948,0.00034784,0.029933453,DOWN,323.0763873,323.0708458,323.0801764,4.498041667,4.278783333,4.649583333,34,18,14,4477.99,29383.34945,14052.90724,12308.40314,7161.935415,21756.33082,23886.02923,24982.36765,16227.61235,22109.97853,18937.7183,39707.88029,41666.05423,42435.82274,45483.32316,54454.30548,46600.12777,11404.61208,14150.26316,16947.81592,9940.631232,10349.6941,4227.88243,10271.78547,7978.875966,7251.540382,18596.12813,14330.91341,12789.93294,25905.47424,26106.49687,34043.94887,8125.457124,8571.928444,10088.60241,11873.16443,11564.28275,9292.028319,7435.150357,10246.3041,6027.437031,10338.661,14322.48965,5722.86582,Neg
17,M166T24_1,1.217440396,-0.283851141,-4.038205279,0.000534595,0.036225598,DOWN,166.0509951,166.050889,166.051044,24.13541667,24.07083333,24.28116667,24,16,8,4840.084,107675.4573,16189.42196,88444.13054,11178.66293,106111.7412,97419.07057,98768.89807,116212.8763,89864.82521,91519.61282,132136.9712,94903.14802,92078.36509,104038.9169,102293.4806,129247.7109,142418.7336,116408.5543,101708.9543,92017.05209,71064.62482,68342.96077,92055.68751,83479.76174,86433.41133,97560.38392,88408.50619,73243.37416,97622.12805,74702.01151,91756.62144,100935.8265,86521.82904,84076.14025,102592.0448,89694.98804,94203.40487,73608.67671,100117.0564,102375.1407,82684.6592,79704.04996,109458.7929,Neg
18,M123T4,1.666289732,-0.736639277,-3.96047623,0.000537886,0.036225598,DOWN,122.98525,122.9851604,122.9853131,4.45465,4.410133333,4.52865,39,24,15,10295.966,126670.76,41662.4017,76019.64868,33886.36,150554.5179,129675.8139,137936.6186,73969.8563,59933.94618,73033.85333,172019.4061,143619.4475,193376.2191,153277.5345,185349.0467,133387.4657,94731.65297,97299.64939,101896.3725,50836.14837,89949.94893,148349.5404,38472.53524,46939.61733,41342.87407,46450.47652,51521.87432,35856.37667,120947.491,114285.3828,145817.5248,92311.12772,94590.09217,85550.10593,49660.07235,63737.77899,90643.35268,46943.73259,40113.36138,51487.64734,84930.11476,95296.1945,98438.19735,Neg
19,M215T5,2.207923034,1.142689882,3.90313886,0.000541256,0.036225598,UP,215.0521343,215.0520082,215.0561506,5.398116667,5.255966667,5.84185,39,23,15,21374.34,78140.59223,30491.14256,172528.4135,112015.8605,47863.95305,53633.58224,55303.47792,122718.2132,127685.3441,135269.0511,85245.89169,80479.89704,94938.96781,41707.56942,54619.78028,49473.61451,63774.06187,76547.49535,82847.98399,374331.7755,331314.8446,324190.3872,7249.967195,409171.4249,5913.065263,243158.8671,267695.3031,253488.7876,67045.50516,73921.57729,70914.17423,113630.5334,126454.8853,129549.921,211759.3582,230698.4049,213532.9946,122125.013,129836.5002,147276.4776,90839.21438,92701.70905,103881.2327,Neg
20,M267T1_2,1.313156757,-0.393039147,-3.883662931,0.000571514,0.036225598,DOWN,267.122871,267.1226695,267.1232672,1.30271,1.266336667,1.35473,27,16,11,2417.304,21624.45446,4151.952462,16467.53469,3838.552635,27698.82378,22128.10527,13426.51916,25272.94115,24553.11109,23091.90375,28219.27899,18808.99686,18692.854,23804.34484,22073.62395,17107.80786,22405.39469,20536.21175,16546.8997,22396.66285,21326.72662,17703.50543,15755.67457,16270.93198,8922.544638,20233.24286,16899.99774,12377.21368,18924.64735,9962.755299,17291.79761,24570.48179,14860.14627,16863.77937,19687.51641,17567.48171,17687.80008,17218.9816,16292.65018,15653.5095,10545.16457,13638.78163,12568.83889,Neg
21,M481T25,3.846028909,1.943369607,3.889948575,0.000579265,0.036225598,UP,480.9878853,480.9843413,480.9880835,24.69725,24.46566667,25.20916667,50,23,15,169400.844,273501.2696,235127.5934,1051893.789,934097.6196,157039.2948,90593.7064,54809.01092,519040.1142,700481.4443,768497.394,222868.3738,329193.9921,501697.3745,92709.44334,132052.5745,137791.4266,163333.392,93268.55003,139142.9521,2774296.744,2987961.374,3215260.335,37946.35801,45239.74099,41332.53471,1538373.593,1653141.44,1730959.672,58451.41431,302315.0151,78144.7605,892475.1397,888032.151,939340.4417,1338469.1,1481098.195,1666371.32,596487.6507,821736.3169,596571.12,408997.182,653247.8575,499201.489,Neg
22,M150T11,1.765689264,0.820231472,3.810604074,0.000596253,0.036225598,UP,150.0419457,150.0419043,150.0419705,11.18096667,11.12113333,11.24153333,23,19,4,2269.568,12908.0727,4317.909095,22791.64538,11472.75298,10228.02788,11632.97398,11366.22627,18149.77133,20668.58187,23615.92536,10558.85227,11923.94872,8368.353531,10461.9133,12025.50902,10940.28988,10633.41914,10916.42372,12130.87425,39884.14471,48103.80512,50537.65195,11267.4441,10827.58132,12719.17566,26979.62888,29750.84279,29737.60638,12259.42684,13535.9031,10802.1758,14292.63376,17585.63848,17353.6313,26746.74686,28374.85042,34918.81835,14143.15428,15838.43527,18673.4096,17505.94121,21639.4765,23521.36656,Neg
23,M240T5,1.54584171,0.628392598,3.753438694,0.000605127,0.036225598,UP,240.0900817,240.0781882,240.090172,4.6302,4.070583333,4.731916667,55,21,15,4230.543,14960.69063,4812.091429,23126.85958,8749.452177,14890.84572,16859.65204,14726.68547,18752.60377,15365.57707,19705.11464,16450.68359,20589.35864,17900.44878,12783.17571,19133.99218,17526.32305,7465.972619,5971.213885,6288.712268,34314.25306,32164.18679,38341.42582,9925.401637,8652.458202,9691.557563,19975.32234,32423.97293,38526.0905,17463.34704,17719.17546,7541.780721,29745.72936,25585.02043,24645.03141,20504.89714,20410.71565,25736.43848,26505.38309,23889.85219,26890.03329,18565.97652,22667.24144,23159.33885,Neg
24,M137T4,1.674880829,-0.744058448,-3.903379836,0.000664309,0.036678043,DOWN,136.8628637,136.8627195,136.862977,4.397383333,3.922483333,4.695433333,63,24,15,6860.651,42768.2005,14619.28649,25535.07077,11217.83728,74636.54588,66771.7138,40016.16397,48329.09386,44563.53595,44137.30952,27813.16115,25742.99615,23219.72808,57796.24307,44982.24262,40695.82635,35408.9736,35658.09246,31751.38097,15230.742,24571.31122,18594.36818,17445.21515,19137.13145,18047.99773,25799.49747,22065.73191,21471.79552,64351.8865,28119.06441,18470.55334,25959.72035,30831.91479,17511.61816,17790.06421,16475.95846,19590.43692,39046.40609,24290.4648,19679.05385,38180.18375,43858.08725,26322.49501,Neg
25,M145T16,3.353030593,1.745465646,3.890058635,0.000665961,0.036678043,UP,145.0981084,145.0980615,145.0981891,16.47743333,16.26673333,16.92883333,45,21,15,5611.343,33893.60888,15310.96824,113646.3075,98552.33228,28902.1804,21228.63795,39554.97828,61668.59053,49752.96959,35762.84788,42033.90506,14919.39921,46228.27229,32814.86121,22030.07775,56493.08047,9318.94525,23040.39343,24654.99393,148388.838,195899.633,185845.3241,352917.8662,341185.533,321993.9656,80272.47998,100696.8628,108660.3002,22257.60851,42983.92187,43770.10262,68720.75218,41658.98972,90577.45601,82054.31364,113943.8137,107188.0875,21081.73897,41281.64979,51273.30408,24624.33275,64943.43418,75291.07102,Neg
26,M522T15,1.450698561,-0.536747774,-3.685507148,0.000727829,0.038493102,DOWN,521.9800354,521.9785974,521.9878883,14.88263333,13.79933333,15.70386667,31,16,7,1457.495,19849.50754,4066.619699,13682.72367,6382.377076,18924.5119,15370.47101,20024.64031,17010.46594,19785.77684,17999.45514,11761.88781,24233.01115,19214.41537,19254.37507,28457.73985,21050.58693,23162.67177,17170.23179,24322.37229,21331.30693,5770.75896,6649.593313,18556.00905,12966.92031,13201.95494,6645.95224,13271.39647,6438.286248,29102.64855,18045.11947,10165.59818,20162.08224,9517.389085,19973.3538,6806.201766,5498.533595,20244.09941,17198.7833,8791.606676,14605.26719,9051.653478,21133.35543,13257.49757,Neg
27,M267T7,2.892417223,1.532275672,3.682731297,0.000754831,0.038493102,UP,267.0736313,267.0729268,267.0737553,7.490116667,7.4323,7.52645,29,21,8,24064.85,29511.29367,31767.3085,85358.97407,62486.8677,21441.28618,22155.88677,19852.31514,82347.41746,90084.74154,95721.12509,6812.165944,8395.296953,5270.758781,18702.12522,19112.59026,20362.09236,5526.463978,5628.957048,21256.18226,146053.8425,159579.5533,176693.4964,19882.69992,21816.93564,18298.88148,147144.7648,163695.5889,173465.7674,13704.15485,16558.89247,18058.16558,28134.4379,29579.09464,29960.55616,128274.7558,161639.0092,169720.8935,88727.24054,83876.39069,90583.3467,52423.5347,45909.92958,64833.44493,Neg
28,M154T6,1.821889113,0.865435154,3.706625585,0.000898041,0.041543352,UP,154.0621251,154.0620665,154.0621559,6.4226,6.30485,6.568466667,37,22,15,6338.698,64011.90493,18572.04113,116622.5927,65446.05166,57532.36503,46579.56095,62023.7719,82748.48185,80725.33511,82009.49772,63181.27536,72424.58218,91902.46906,60468.51502,62098.07929,85272.48857,29048.52332,38699.38791,45464.24066,213533.8244,259998.8157,268425.6494,25747.02666,21047.09925,12858.15243,102401.2233,136835.1535,149888.6101,81134.79562,65574.68062,91915.8819,93945.42328,105983.0082,92040.30346,142706.9771,168698.4,162945.2853,72836.25257,100296.1862,89926.42767,82755.38717,123192.7295,134254.9306,Neg
29,M367T6,1.611627942,0.688518724,3.719389882,0.000911284,0.041543352,UP,367.1032561,367.1029735,367.1082465,6.11175,6.0493,6.184866667,35,21,14,1919.645,10981.52183,2102.541363,17698.12742,8437.52926,10235.47569,8897.137799,8194.264117,14853.56482,12783.64549,10692.62942,15023.55559,11593.0872,12009.77443,9615.016922,10324.00615,11998.27667,9707.032424,10652.95196,8142.408743,33457.1511,37251.81932,33502.44911,4167.973255,5257.761518,4995.349554,21460.59503,23517.9763,20846.59014,14605.33337,13158.95254,13835.55504,13228.66712,18246.27203,11021.05005,23679.15974,20209.94551,18867.01805,16359.90364,15677.92745,17488.98905,12959.61969,13454.10284,17504.89665,Neg
30,M169T4_5,1.55388098,-0.635876004,-3.69325772,0.000934056,0.041543352,DOWN,169.046305,169.0462411,169.0463757,4.460983333,4.410133333,4.5129,39,24,15,41525.488,449226.4373,134816.7892,289099.6436,126625.4179,394959.3575,465942.9472,436446.6348,218665.4741,260372.4396,252791.0075,544566.3194,637829.6234,659202.2354,529594.516,579175.6701,527220.3128,429790.3423,386175.336,415664.344,381213.8805,486953.0679,471818.0736,158560.3817,157762.6475,166908.7813,163447.8205,156662.097,159069.7637,449626.9998,500169.2482,471984.7129,347768.1596,305365.597,408628.9053,241753.9,222446.8172,256480.5542,152914.0829,145638.5909,163396.9212,308474.8627,326239.5296,335106.0502,Neg
31,M418T26,1.354184684,-0.437424508,-3.60566285,0.000935333,0.041543352,DOWN,418.3238104,418.3232541,418.3287291,25.781,25.66933333,25.9055,31,19,12,1211.907,11712.1989,2227.405839,8648.893341,3063.462596,13312.08491,13318.72569,11533.27131,12522.05651,5840.556987,13445.15902,8601.433037,13681.86034,12065.73516,9171.510915,13564.93306,11793.14259,12170.95908,13225.0671,11436.48778,6767.151775,5436.804072,4849.620494,6214.209593,16729.46796,10266.80944,7283.546595,7794.911393,9145.160593,5071.22091,14833.87641,7930.049095,11402.42326,8183.334838,13484.88736,8560.932695,7964.705966,10198.20488,4625.550678,7836.277344,9514.509712,6264.179405,9597.092425,7618.513286,Neg
32,M187T4_1,5.329054257,2.413879522,3.754308921,0.001026682,0.044175668,UP,187.041808,187.041577,187.0418759,4.44495,4.4089,4.5129,36,21,15,87029.984,50217.33715,11192.70185,267610.9143,283322.3082,40049.02658,43657.52028,40367.26647,59347.00278,49370.24882,51063.06086,51271.99185,44916.9915,39432.52987,56313.23632,37848.50407,39517.92831,75143.25122,67648.51834,57312.98005,976414.2738,936521.4779,912314.7376,4294.352824,6082.005639,5218.085228,177362.6248,160546.0921,157946.7872,58008.63176,64588.33814,70305.83926,96537.15111,76004.38073,82399.97022,303533.1556,222998.8971,255130.9976,277728.5015,286568.6151,289391.3663,316335.4703,343558.4895,342871.7027,Neg
