,name,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_pos,29M_pos,maxint,mean1,sd1,mean2,sd2,3M1_A4_1,3M1_A4_2,3M1_A4_3,3M2_C1_1,3M2_C1_2,3M2_C1_3,3M2_D9_1,3M2_D9_2,3M2_D9_3,3M4_E1_1,3M4_E1_2,3M4_E1_3,3M4_E2_1,3M4_E2_2,3M4_E2_3,29M2_C1_1,29M2_C1_2,29M2_C1_3,29M2_D8_1,29M2_D8_2,29M2_D8_3,29M2_E4_1,29M2_E4_2,29M2_E4_3,29M6_E1_1,29M6_E1_2,29M6_E1_3,29M6_E4_1,29M6_E4_2,29M6_E4_3,29M6_F7_1,29M6_F7_2,29M6_F7_3,29M7_G7_1,29M7_G7_2,29M7_G7_3,29M7_H9_1,29M7_H9_2,29M7_H9_3,Mode
11,M719T25,1.767421201,-0.821645895,-5.18118489,1.33E-05,0.002622741,DOWN,718.5384951,718.5292111,718.5388812,25.49483333,25.408,25.99483333,50,24,15,70026.523,704817.8744,177412.4539,398783.1956,182680.7852,818484.507,977094.565,1029233.543,462435.5875,937005.1246,834737.1517,632180.6641,610222.4702,689679.5211,670931.9036,462098.9573,683407.4544,550153.2145,628520.2169,586083.2347,169790.769,136901.939,127391.0169,239531.6477,255970.0534,255462.7921,203324.5653,218621.5069,227825.8332,721741.7258,564057.868,695366.86,460832.2367,509479.2655,571240.5569,421602.8125,407667.2631,506958.4906,326281.6157,339133.7848,651877.223,478672.3864,609588.205,471476.2763,Pos
12,M770T25_2,1.902612924,-0.927982083,-5.12679102,1.55E-05,0.002673901,DOWN,769.8415436,769.8407762,769.8436354,25.4225,25.32466667,25.48483333,38,23,15,8015.312,59746.73537,16590.62872,31402.4648,17122.70122,75938.02543,71843.79826,89213.36584,35071.25849,50764.54477,53718.13082,67302.50555,47459.47079,68560.18307,43937.58104,27211.29838,73472.46109,60610.63451,65320.66514,65777.10732,9028.517639,10004.8721,9939.575446,15028.65362,25637.56917,23328.66456,11010.65485,20243.10091,19085.31551,64934.32738,58320.22441,54833.32459,36666.29696,35187.33829,43220.8866,36834.1983,36135.72708,44030.36856,22260.37539,44336.35154,4733.91018,42880.40674,50480.55263,35497.94284,Pos
13,M721T25_4,1.98280968,-0.987546207,-4.95901344,1.60E-05,0.002673901,DOWN,721.0427105,721.0414495,721.045144,25.35866667,25.31883333,25.43033333,26,12,14,3255.691,14034.39302,3291.536536,7078.033341,5467.32544,11158.64966,11707.53786,14600.03454,6245.605932,12853.59963,15814.98722,12881.73112,14924.94081,13862.63357,17713.75726,10769.33194,16522.02234,18765.75926,18194.11737,14501.18686,1802.87344,3186.313349,2721.115064,2458.389099,3332.448303,3004.191519,1674.115931,978.3677871,2617.103949,12914.38789,14790.29758,14037.66572,12804.70982,17653.70355,18506.66613,7800.634346,11054.04546,7899.20963,597.9872539,6406.405078,4176.284058,7132.358415,5663.6317,6659.895111,Pos
14,M447T26_2,2.123756226,-1.086618177,-5.597342915,1.96E-05,0.003041299,DOWN,447.3838068,447.3824132,447.3846816,26.39366667,25.944,26.5225,43,23,15,6193.325,52251.89429,17527.82459,24603.5273,9696.431555,54203.66012,66104.1436,63351.90962,40086.4381,63312.65586,73392.46805,33420.56086,71096.80068,45069.85817,57475.38159,60445.3265,74496.02435,23707.8375,28359.37689,29255.9725,14249.93886,11017.15197,10829.13109,6422.12784,25034.34749,23983.40303,28671.89959,24386.17513,31836.92039,32978.98383,45550.04472,37640.10818,18662.19192,25692.72016,37490.45096,23199.11459,21050.49825,28909.86148,10634.11349,22369.57031,28611.7412,18908.7629,27223.21621,35132.18164,Pos
15,M338T24,2.930234265,-1.551016009,-5.628282127,2.21E-05,0.003100824,DOWN,338.2772595,338.2769912,338.2778814,24.3865,24.34866667,24.45316667,31,16,15,5238.55,30212.47123,12730.46528,10310.59926,6386.199416,39589.98931,33440.27562,35490.06892,19522.853,30046.86033,27302.52279,24846.61931,26678.54439,24070.89995,55381.86693,50344.02998,42876.88177,16189.76212,13663.00346,13742.89056,1478.517925,1801.89227,1089.816133,10205.71646,9687.843094,9604.536503,6893.57372,6689.229835,6085.575265,17812.94755,18950.83706,14995.07327,10292.31351,7304.728505,8687.53707,6521.801564,7252.48639,6590.880744,5172.007272,12295.18086,12527.70884,20566.64176,25685.37148,19262.16507,Pos
16,M759T25_2,1.751369081,-0.808483148,-4.937444732,2.29E-05,0.003100824,DOWN,758.7193016,758.7186149,758.7208633,25.43141667,25.36233333,25.599,40,24,15,13614.647,95866.01318,24105.71903,54737.75585,27120.90096,85434.11062,116775.7159,150787.5598,57258.3651,66876.24845,85193.33939,95234.43281,74595.77504,111956.2553,118506.1534,86260.69109,118128.0332,85942.89667,82648.35539,102392.2656,17869.28295,19739.59837,15311.69091,34782.32318,44887.54406,28548.72978,23329.22645,30074.07577,30407.98817,77492.21208,122964.4589,76608.36621,55812.84131,74185.33152,66524.34081,58904.9937,57314.60271,56058.58231,36537.89892,90251.36492,71043.96262,75127.73244,82830.14699,67098.84539,Pos
17,M389T24,2.630662053,-1.395425925,-5.391662817,2.56E-05,0.003100824,DOWN,389.3055167,389.3049147,389.3063613,24.415,24.36633333,24.46033333,15,4,11,2185.021,13893.94749,5750.653,5008.891111,3501.964281,16900.44865,16236.60756,24956.88241,10741.70627,18021.9913,15337.16459,12111.58337,8649.252512,8850.391494,21504.13343,18682.85031,16004.466,5044.891944,7425.2646,7941.577956,0,0,202.3490427,6749.045339,7006.11111,6298.369362,3863.19055,3374.540529,2131.607731,8875.181764,4812.225665,8332.77752,4387.709904,5262.540391,3905.791142,1678.853248,2219.32011,1758.413632,3577.872129,6073.655448,7203.610062,9188.242856,14560.42557,8751.553563,Pos
18,M335T24,2.415860125,-1.272536927,-5.388171618,2.57E-05,0.003100824,DOWN,335.2581618,335.2580481,335.2585192,24.3675,24.32233333,24.42333333,15,4,11,2291.131,13745.89531,5215.907143,5689.85562,3181.37254,16953.34508,17123.93255,16529.17436,12521.87491,16399.0506,14116.1317,11449.46152,14094.77851,12551.06325,22059.61256,19964.43234,16786.50378,5547.676344,4654.86374,5436.528359,1031.13098,1553.2899,600.0117722,3412.554644,4771.849032,4302.078987,5121.252407,3893.243953,4253.394506,9135.062947,9287.566219,8570.0826,5803.249879,5671.181549,4442.434542,5652.854014,5275.894725,4430.284364,2482.619905,6103.939331,6318.597982,9665.585346,13293.74356,11484.63173,Pos
19,M730T25,2.059776485,-1.042487793,-5.050639692,3.24E-05,0.003694354,DOWN,729.5251578,729.5236504,729.5266538,25.37983333,25.32083333,25.442,32,19,13,10193.654,57909.62547,19285.26942,28114.51916,15497.08879,43812.37492,40807.22012,50992.53272,31534.25728,87363.57417,69815.76933,71137.68979,69755.18147,83390.45711,47394.93542,32612.05619,90173.10729,49652.1472,52993.97048,47209.10856,14211.58699,16422.0522,14211.9272,17855.3285,20698.79696,12169.5079,14833.01133,8151.906263,15736.45023,61949.08646,26369.083,43191.54108,39060.70435,47935.07093,56918.80042,39126.00377,42603.75375,35004.5555,10082.55273,16321.27978,22704.82251,21994.18018,40926.59623,36269.86165,Pos
20,M783T25,2.157193446,-1.109155556,-4.983326314,3.77E-05,0.004091989,DOWN,782.5689611,782.56715,782.5743299,25.4145,25.27716667,25.84633333,47,23,15,220520.656,1364364.162,478728.4919,632471.865,388583.416,1154376.213,1741310.051,1819775.493,663744.2402,915218.118,933953.5046,1633117.983,1591144.24,1686164.668,1903850.945,1458649.322,2241905.375,814691.4562,970683.0634,936877.7556,87454.73949,130544.5903,123809.9447,779319.8035,1015769.196,937006.2654,221346.7057,273771.5208,342493.8549,1217844.47,1364725.416,1398941.744,730783.6652,780262.0341,809502.3269,366386.4223,468032.1912,493316.7599,243673.4791,543695.0245,689542.0395,948392.9804,369328.0509,843381.5363,Pos
