,name,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_pos,29M_pos,maxint,mean1,sd1,mean2,sd2,3M1_A4_1,3M1_A4_2,3M1_A4_3,3M2_C1_1,3M2_C1_2,3M2_C1_3,3M2_D9_1,3M2_D9_2,3M2_D9_3,3M4_E1_1,3M4_E1_2,3M4_E1_3,3M4_E2_1,3M4_E2_2,3M4_E2_3,29M2_C1_1,29M2_C1_2,29M2_C1_3,29M2_D8_1,29M2_D8_2,29M2_D8_3,29M2_E4_1,29M2_E4_2,29M2_E4_3,29M6_E1_1,29M6_E1_2,29M6_E1_3,29M6_E4_1,29M6_E4_2,29M6_E4_3,29M6_F7_1,29M6_F7_2,29M6_F7_3,29M7_G7_1,29M7_G7_2,29M7_G7_3,29M7_H9_1,29M7_H9_2,29M7_H9_3,Mode
1182,M722T26_3,1.633257462,-0.707752231,-1.790868161,0.084690741,0.155380037,DOWN,721.5941485,721.5936678,721.5947114,25.54758333,25.48733333,25.59916667,36,21,15,51828.273,278046.4164,192409.2127,170240.4079,166541.3067,511481.9219,602231.7938,594530.5648,81975.30241,176052.5112,174350.5389,269239.5884,209389.8353,269768.1914,418479.5214,345018.5143,376516.6286,35979.02924,44068.20211,61614.10277,24373.58007,21654.63792,21522.20773,29220.0443,40634.49736,28632.66673,95110.05042,89341.23287,83875.74795,282590.4551,283765.6188,276098.1852,46335.84962,49781.43551,63433.15846,101257.8571,74206.221,94191.95531,262419.4459,558246.6069,575804.8426,328681.008,313978.572,340613.9124,Pos
1183,M433T26_2,1.099263023,0.136536624,1.79356443,0.08493074,0.155688642,UP,433.3314332,433.3312435,433.3316753,26.063,26.01133333,26.13033333,39,24,15,6120.538,64269.42095,11623.13428,70648.99795,9353.386576,67075.97976,44514.47478,63244.20561,51639.56828,89186.8352,62935.17634,62612.81537,60967.22234,65846.17455,58016.41428,63067.12226,84615.59922,75995.54283,56519.02634,57805.15718,53581.54248,68975.43696,69639.97269,73335.8447,73968.06514,94431.36113,57611.74365,65189.35163,74889.40731,82499.51466,72846.43409,67190.60388,57656.85095,64836.84469,78415.3469,58135.61542,66156.21742,70587.34597,68025.1163,64700.01612,73861.77204,77622.94215,83440.53148,77978.07317,Pos
1184,M241T12,1.315215935,0.395299684,1.767180286,0.085459986,0.156403301,UP,241.1058362,241.1055259,241.1060464,11.748,11.63753333,11.94093333,33,20,12,2342.603,17473.07027,7619.196189,22980.86046,11842.7131,22241.32199,16775.96251,15612.33183,25948.76008,23196.08622,23113.01412,23709.04224,18755.20556,6083.358259,28286.87505,20610.85759,17797.19596,7600.70284,5969.873591,6395.466265,36446.53218,38004.14409,34829.60204,4198.30097,2106.150007,3239.202747,38064.65241,31039.78085,31407.54782,22160.77825,13736.55416,12447.58359,23572.84756,23633.71193,22972.61129,37486.65444,34668.48629,31497.20272,9648.388963,10200.38891,16996.98059,32025.76735,15632.47493,25524.30692,Pos
1185,M148T5_12,1.317766034,0.398094247,1.767035724,0.085471519,0.156403301,UP,148.2558515,148.2556124,148.2560616,4.964133333,4.843083333,5.072066667,39,24,14,3184.314,16183.96942,6883.53523,21326.6852,11290.36076,5179.330852,11259.78815,13997.16557,10944.40328,11040.15635,25775.23113,17278.78371,9934.175149,25756.58271,11260.40083,21434.33293,24028.61611,10334.47713,19637.60266,24898.49471,43861.62268,45990.08502,41214.73438,10566.67151,6250.468225,12697.21436,9364.402574,23240.54689,28098.64425,16734.54376,18264.63995,20170.38675,23977.1887,23750.15228,27399.01109,24320.99661,29266.28932,30639.72309,7375.288911,18687.45164,17335.18662,9184.456795,8530.657246,14920.08208,Pos
1186,M190T1_3,8.37656199,3.066358237,1.796166361,0.085613132,0.156403301,UP,190.1262931,190.1262064,190.1265584,1.019134167,0.88721,1.09037,36,21,15,107686.32,6811.180115,1301.246164,57054.27246,137026.3515,6722.449958,8483.679789,8604.449901,6971.317592,4451.565402,7738.625613,7166.298461,6080.189162,7288.320956,8047.304098,4486.781676,7501.104282,6747.067367,5099.226552,6779.320922,7084.751043,7333.674836,8164.770317,366204.251,388871.4081,472918.0906,8675.587917,5721.356812,8564.874673,9449.965998,9007.475379,8184.027812,6033.177187,6875.128873,7408.985953,6612.113016,4798.639591,6756.726913,3920.971766,4956.413789,6138.952875,5462.327461,4796.015513,5362.851664,Pos
1187,M241T1,1.703606482,-0.768592124,-1.801849519,0.085708758,0.156403301,DOWN,240.9872101,240.9865942,240.9994833,1.440136667,1.290643333,1.62561,25,16,6,5918.417,33472.77542,26471.86376,19648.18505,17075.66643,73814.61491,81622.25538,66948.96905,47104.40956,5507.835817,5519.930875,39621.40261,33127.73353,36379.47751,51143.1008,7830.56345,8194.75408,7775.200833,7661.034851,29840.34805,7264.79859,5961.579409,9015.485205,14367.73773,39924.98978,22171.80266,6604.265217,4164.162624,31968.24573,59554.93273,8889.359746,51813.11697,30502.02564,8811.663718,7872.101574,5774.801211,7297.283697,6858.021634,6330.897877,10300.12237,48818.59552,33227.41479,9607.975565,34455.0613,Pos
1188,M239T26_2,1.31022269,0.389812038,1.765583743,0.085718107,0.156403301,UP,239.1641235,239.1637533,239.1643628,25.61333333,25.22316667,26.03066667,49,20,14,2371.489,20372.78269,8486.667658,26692.88213,13866.82256,21906.94426,10220.54616,35394.04977,20303.54652,23238.72375,27204.27916,10828.16125,20495.01659,20531.91041,20740.44951,10675.15393,18832.79552,27300.2137,5126.8723,32793.07755,20008.35759,76572.74698,21282.77916,16156.1862,34158.1393,32178.74339,15359.47742,33281.64472,23477.29694,29381.62478,39249.88066,28707.13108,22708.2062,20453.64302,23481.92955,26220.32968,25283.56037,46814.13573,30598.52162,17217.75491,12856.15063,12632.17436,8236.719114,24312.0378,Pos
1189,M634T25_1,4.034984889,-2.012563271,-1.845246381,0.085753332,0.156403301,DOWN,634.4524044,634.4467692,634.4552967,25.32033333,24.98733333,26.45883333,63,24,15,154378.922,416185.4766,653112.9126,103144.2466,90748.62486,2203052.455,124856.9214,66278.30338,1427428.055,91907.45961,64845.9122,1191553.978,81793.54746,76003.51553,328479.9947,89470.24853,63764.03425,288455.9601,86226.12212,58665.64215,105825.8016,65276.62293,25657.28295,100735.8011,59019.15999,38461.63951,369440.1305,77099.81145,48286.85909,141753.9091,60237.39798,67978.29175,108243.8459,56729.95765,52354.93428,368098.7688,73303.07122,54511.798,115410.2314,71776.91173,60057.6867,217575.1991,67855.09622,69771.71067,Pos
1190,M197T11_1,1.420418492,0.506316047,1.787548295,0.086047409,0.156732138,UP,196.8778468,196.8776582,196.8779953,11.4471,11.28593333,12.0106,63,24,12,9307.217,65892.41891,51970.47551,94214.45165,41271.51024,0,34111.3813,68548.00849,0,100244.7036,128871.0005,11221.2969,90938.76698,81133.65319,189.8673283,82077.17583,163160.107,20130.88503,110859.1915,96900.24602,122215.2296,111076.6036,79818.42013,92012.74462,198781.0447,172948.261,36060.38951,148696.617,119739.3368,41875.29434,109171.2685,70217.56118,120891.6687,103100.7104,80197.85123,54192.39844,119903.3371,91449.75986,49038.23388,79496.83362,73601.45345,34298.69825,80837.21154,71525.91236,Pos
1191,M704T26_5,1.325898934,-0.406970811,-1.764158599,0.086127939,0.156732138,DOWN,704.0814589,704.0793539,704.0824676,25.55741667,25.4745,25.65033333,28,16,11,4311.87,21666.96288,7820.168148,16341.33819,10993.91718,18355.40645,39016.74181,34575.13097,22065.1689,18060.89516,20390.48594,9755.165761,9963.39708,17143.83497,23040.69372,24850.26922,27247.51099,17658.51228,20005.27375,22875.95622,3505.891209,4978.279825,4747.630183,5391.392121,4277.09936,10923.04872,2843.352096,23295.58533,12626.06381,33007.57434,32002.83041,8140.076982,10930.14306,21611.72743,20909.47368,20354.81739,16974.56014,11704.66829,11119.40828,41468.59316,26745.45457,31085.91114,8977.94989,24570.58514,Pos
1192,M159T5_2,1.561006032,0.642476112,1.765646597,0.08615045,0.156732138,UP,158.9963272,158.9960823,158.9964603,5.118166667,3.864733333,5.835483333,92,24,15,37115.5,342358.3561,217265.4502,534423.459,456575.9094,243806.0269,213258.8439,307982.8078,202996.5558,752831.3612,782286.4353,166022.469,732623.0675,231982.5451,243876.9918,246744.4154,244395.7081,243330.975,211682.7097,311554.4283,146444.4608,295210.3224,295927.4496,273166.9134,1722991.53,2063597.658,448776.1169,512672.0506,564877.3025,251830.9795,286995.4489,244982.4697,688721.5931,650032.6418,672015.5809,695187.1049,732249.5961,261448.3973,507200.3591,318617.3074,386128.0399,246501.4836,287469.3028,273118.9066,Pos
1193,M147T1_1,1.54536731,-0.627949785,-1.816542671,0.086330748,0.156817872,DOWN,147.0473168,147.0471891,147.0473924,0.996818333,0.093638167,1.06168,40,20,14,11850.707,23903.59296,16936.62412,15467.90385,7655.179352,51634.00652,12906.89124,14719.30168,52626.37229,11821.05427,12550.76895,45226.75653,13451.9396,12864.19879,43734.937,10273.3084,13076.39229,40162.07166,11940.29006,11565.60515,18233.37315,12943.21491,13865.46047,14143.56,13035.63719,10684.75346,42356.57067,12403.09323,11700.54716,17056.26918,11560.88005,13233.00521,11590.31811,12195.68507,13704.72202,30553.582,12087.84179,12416.76076,11436.29234,11321.74957,14323.62789,28738.11858,10544.45033,11100.17932,Pos
1194,M722T25_1,2.571692904,-1.362718375,-1.827589731,0.086360207,0.156817872,DOWN,721.5581176,721.5564376,721.5585672,25.4325,25.30533333,25.57716667,31,18,11,45289.648,91249.09617,114276.0226,35482.11221,38105.30596,324697.6407,347414.7077,59222.67139,11207.63674,19232.69024,21588.38258,186693.0534,44784.41831,53235.33829,13498.81997,185242.9817,12775.0588,38821.03181,25403.5107,24918.50022,6716.236625,4924.251086,6723.531012,27440.94991,7705.662266,27194.85966,13379.88206,14032.1043,16196.7413,166761.2811,27011.23246,127163.4265,38591.61132,41265.20459,20076.93569,35419.54611,17356.3389,24260.73149,24372.69336,36039.81485,59871.45632,66788.21232,24756.81443,17521.17536,Pos
1195,M467T11_2,1.403971356,0.489513502,1.768316136,0.086414515,0.156817872,UP,466.9523608,466.9507681,466.9539393,11.1984,11.06096667,11.40573333,27,16,11,7416.573,10662.97171,4180.74308,14970.50685,10697.99223,4064.647376,9092.73215,7903.468073,5750.079969,11702.09431,12940.36718,9469.826031,11396.40461,18202.56687,6706.007773,7988.013189,11316.43796,9651.191609,16495.26829,17265.47027,24459.56032,30203.22567,52391.29419,4537.558746,8778.172931,11282.53401,14498.032,5346.018779,7349.400725,9336.500273,14790.38862,11264.83492,16934.77095,25910.54399,22437.96613,9866.43336,19783.71154,18808.0307,3356.335721,9382.91832,12363.37536,5649.939782,8602.889687,11957.72774,Pos
1196,M186T5_2,1.464750209,0.550654656,1.761842666,0.086796008,0.157378476,UP,186.0158502,186.0100525,186.023495,5.1573,4.793733333,5.835016667,33,16,14,2573.233,10889.26929,5744.267308,15950.05946,12051.03845,11154.85098,8915.894,11540.85562,10500.70164,9913.633689,11749.84612,28998.45861,6821.299832,3508.202282,15114.41923,8473.30624,12368.09527,7355.829664,6644.874924,10278.77125,33111.71588,3018.987564,4985.557491,5046.465461,8935.375362,11823.09891,5558.990508,34201.39663,6809.048063,27466.17376,5814.139481,2757.215334,31023.71586,28440.90757,30072.50269,31492.178,3329.095747,10784.70847,21508.33917,6936.448768,17350.92686,4213.196388,12981.95091,35139.29228,Pos
1197,M218T4,1.221774796,-0.288978384,-1.761541355,0.086951335,0.157528401,DOWN,218.0333455,218.0332309,218.0337013,4.1546,3.773533333,4.649816667,42,23,15,2282.964,77265.01467,21861.83367,63239.98083,27507.47644,94777.36023,92419.51235,83008.93179,95458.2311,83224.85832,84740.10939,85254.316,70284.20586,86652.71376,20427.1041,80258.70894,85050.06968,31180.98912,81337.2859,84900.82354,77826.12494,29209.3613,84307.33998,18444.43878,26089.582,20422.09724,33603.67091,81874.28322,80063.01356,82012.16528,17162.80119,79600.54406,25325.53365,81325.68802,80881.08716,77687.34544,76941.17056,83720.30418,93149.08238,85013.74431,80177.70342,36467.94667,88407.98142,78046.53015,Pos
1198,M284T30,2.045506177,-1.032457894,-1.829597679,0.087029178,0.157537818,DOWN,284.3313428,284.3310201,284.331649,30.03416667,29.86616667,30.0375,23,15,8,3249.865723,24802.95513,26295.17472,12125.5831,6781.102456,54477.65101,9858.351119,7906.235274,71813.6291,8131.574274,4565.293584,50889.31479,8234.58915,8182.852898,76208.04621,6750.240497,8718.990317,42143.05477,5330.465915,8834.038028,15508.42757,6581.464169,11674.52314,9289.365404,9091.232501,12091.66535,32677.48618,7151.560994,6395.172724,8892.217198,9698.84701,8271.186054,12341.91453,11231.69486,7954.774509,29482.14603,9043.622674,9930.469321,8609.520143,10428.4114,10714.72448,23400.81629,9325.465756,11227.28611,Pos
1199,M779T11,1.233057821,0.302240453,1.757384145,0.087218673,0.157608507,UP,778.9551475,778.9540896,778.9558759,11.15778333,11.07843333,11.2385,36,22,14,3409.137,9781.722455,3294.807648,12061.42938,4797.630212,3574.045105,7602.95336,7608.175626,5550.38367,11622.42484,9234.898649,12115.13804,10922.2927,13262.58003,8665.466832,6767.477102,9389.700936,10886.42258,15813.03944,13710.83792,21143.93011,21275.73278,18278.99717,9140.855323,9604.644344,8267.399416,13592.07211,15600.7146,14192.6088,8651.994267,9908.570377,7036.937475,16445.78167,15821.33118,16549.68077,11815.65463,14580.02817,13516.5828,2768.319879,9753.243287,7087.741338,5846.544129,10042.94672,8551.993643,Pos
1200,M85T24_1,1.122330777,0.166497935,1.76565954,0.087280268,0.157608507,UP,85.02900864,85.02894206,85.0290545,24.213,24.136,24.841,40,24,15,2594.936,23694.7005,4884.907992,26593.29163,5147.8597,19100.49379,18819.0393,23516.445,18591.79499,22799.4786,30656.73566,18481.70087,24353.30384,29229.9368,16692.63556,28639.64024,25833.5959,20267.2636,27676.68981,30761.75358,21546.54731,25378.43877,28633.38285,21088.59198,27183.39847,27568.20986,19196.90168,24416.6682,32830.39938,23398.09709,26865.20266,32991.09339,22343.79271,26379.91856,34129.54926,19630.88572,27819.39591,36473.95161,20062.40684,33715.8122,33956.25072,22497.5867,23377.67427,26754.84299,Pos
1201,M205T4,1.389953963,0.4750371,1.767692836,0.087294035,0.157608507,UP,205.0897885,205.0896759,205.0898733,4.41335,4.306433333,4.49735,39,24,15,21537.879,90535.92475,29298.1139,125840.7674,90553.8109,75914.00263,87765.02549,92167.4767,60776.9188,89257.49993,93354.74852,126295.4595,136044.2627,150460.1383,82598.48713,94196.00731,102844.1073,50589.76651,56912.31388,58862.65665,277490.1607,332841.8033,331775.9184,26244.59763,30044.07783,29532.44737,85336.25916,92203.06924,93344.30987,118022.8531,121569.7219,130097.1671,188715.2541,198339.1932,219036.3937,120654.9029,136143.6277,142856.702,23176.73407,54108.97414,53667.48319,67442.24003,73053.89578,74480.63042,Pos
1202,M106T11_5,4.828670629,2.271626059,1.767432652,0.087498646,0.157608507,UP,106.0037165,106.0033827,106.0141474,10.75496667,10.51563333,10.9182,42,19,14,103616.367,55154.39456,169341.2412,266322.4051,544713.9123,10513.96112,666802.9036,2831.827666,3030.109387,10801.74714,15989.06131,4178.837829,6789.537631,25422.40751,8040.988335,10345.55055,21659.75478,17107.28178,7017.81696,16784.13282,8400.884269,14784.23554,1728945.901,1388496.809,1419405.04,6372.734738,6277.243652,14088.6578,25630.94223,2789.480866,15458.31839,3119.714509,2288.133799,20346.61973,5336.847,1151186.333,8976.369579,2068.840341,516677.9524,15890.11765,12387.2097,7405.771889,8208.613895,7194.95152,Pos
1203,M704T26_3,1.363557787,-0.447375842,-1.767443678,0.087567879,0.157608507,DOWN,703.5809687,703.5786861,703.5816208,25.91266667,25.7935,26.07083333,31,17,14,25548.617,71469.60037,33062.51462,52414.06054,32260.26772,65220.84096,157492.1879,70943.04551,12657.32803,102126.3657,67738.83675,68788.32011,59488.31747,69165.50194,52955.02785,103952.4937,87470.24198,49030.33067,38027.69026,66987.47685,20688.16864,18451.47096,24404.56772,13991.14548,52562.70849,29785.77738,25268.78936,51453.31517,32924.20301,31474.77618,105453.4743,99258.12576,73635.57172,46179.72474,76772.8881,42125.00029,17174.1191,84809.14748,52549.29987,48825.71197,144600.5131,40010.87691,69127.79889,56410.27839,Pos
1204,M183T24_1,1.327618788,0.408840951,1.767337966,0.08758964,0.157608507,UP,183.0616576,183.061469,183.061751,24.10983333,24.03766667,24.15916667,39,24,15,125401.234,530021.0728,136989.3787,703665.9341,449063.6699,399412.4375,450865.0555,534319.5581,394276.6397,580528.9648,693536.0084,546638.9521,699808.9203,773190.8134,465148.5561,527593.9383,704287.6489,321337.1302,378864.2517,480507.2173,1361528.568,1689523.805,1912187.705,186641.6551,245233.7545,300073.9464,527608.8518,646391.5644,922471.7631,440522.0016,615620.9262,654902.7993,692260.9932,840804.019,1061356.722,730125.2664,794053.7652,1004192.557,143073.1604,357393.0379,439861.5355,354932.271,446629.9384,520591.8123,Pos
1205,M184T2_2,1.108760424,0.148947668,1.810354476,0.087627363,0.157608507,UP,184.1694485,184.1692953,184.1695817,1.693483333,1.46314,2.332016667,41,24,15,1331.383,20219.84855,4451.883331,22418.96786,1924.50357,16397.70873,10713.0802,18748.31472,17128.25754,24063.0178,25332.89473,16563.47578,23072.40693,23660.55801,13529.86632,22318.14925,22325.23532,20964.40911,24119.11337,24361.24043,22964.84164,24706.76673,23385.23672,20709.06875,23102.55648,20109.44588,19149.13101,24307.60128,21828.07602,26856.76624,22441.53489,20852.94931,24806.35435,25876.47872,21244.98087,21789.77977,21601.2315,21205.37516,24305.94725,20143.99119,21205.64625,21696.62381,22309.26133,21455.58342,Pos
1206,M466T25,1.275233302,0.35076121,1.755022789,0.087649652,0.157608507,UP,466.3289383,466.3287968,466.3292171,25.36516667,25.30383333,25.411,39,24,15,50871.395,212716.9436,73192.07541,271263.7303,134674.8559,208336.4091,200246.4014,223764.0256,256941.0108,300599.2416,305197.7347,329133.6362,242703.7992,295959.2428,132791.0814,137233.2477,172824.7456,132339.0573,130226.843,122457.6769,265569.5411,278741.6858,253608.4739,32167.36763,34788.83076,37161.01758,241534.6007,250870.9826,269396.7972,307383.6145,337966.4115,295653.0864,199394.5528,194805.5919,195493.404,501005.7883,513550.7078,535945.2069,143814.9622,242474.5177,294490.4846,371149.9439,375929.3367,337432.62,Pos
1207,M285T11_2,1.215540381,0.281597821,1.753097359,0.087968879,0.15801836,UP,284.9374788,284.9373003,284.9376882,11.11616667,11.036,11.21056667,39,24,15,4265.24,26465.29321,8282.12275,32169.63258,12014.71435,11260.6957,17628.15105,25810.73706,19111.38664,23863.8634,42361.04253,26059.72267,27400.9441,40008.48126,21159.4403,23183.55536,30839.29905,23377.64865,29884.98062,35029.44969,42515.86317,56487.10606,57969.20299,19369.12513,27753.42525,26411.00716,26951.26846,29259.68944,43240.05899,23960.72276,33023.40648,30468.01244,34634.2902,46860.97857,43206.06867,29512.46267,38160.25467,41123.42195,9541.041612,26522.26105,20183.58449,18286.48259,25101.17056,21530.27659,Pos
1208,M165T0_2,1.273124039,-0.348372986,-1.76367935,0.088023315,0.15801836,DOWN,165.12747,165.127348,165.1276108,0.292343333,0.067938,0.891873333,65,22,15,714.853,12329.01098,5028.162652,9411.411966,5022.611163,22326.10246,6224.024939,14052.48538,5996.295315,12320.14778,8566.322605,10406.299,10826.73105,15125.66092,7115.491961,22785.94316,9817.857456,12615.19118,12823.02647,13933.58502,12250.93021,21557.64851,7666.665006,9917.690561,7228.836413,21558.86969,0,11676.26894,7280.766582,4166.448103,5856.665897,8806.409943,10303.99055,12166.67418,9568.040937,11159.9818,10074.05763,12199.84766,8143.642738,8762.982391,11925.201,0,6753.689054,6848.579396,Pos
1209,M261T6_1,1.952887223,0.965608638,1.761252362,0.088228058,0.158254907,UP,261.0358514,261.0297195,261.036889,5.511833333,5.39625,5.872833333,24,16,5,4803.774,10486.77226,8621.343533,20479.48356,25566.39183,6270.276897,5025.665854,6659.07313,8337.580597,8118.24169,32058.10627,8504.820717,7532.462899,27216.43147,5463.010618,4788.191778,8550.984733,4805.778456,4501.566405,19469.39236,9384.39433,5527.346004,31063.06617,662.1302181,3653.151583,5761.177637,16567.6238,29773.63259,118661.3912,4683.774159,4513.951105,21092.45546,8403.780918,24601.42787,23492.15681,10865.46466,10543.94205,28657.96453,5676.285086,32495.19312,67862.16493,7198.607564,8008.285857,12358.23765,Pos
1210,M171T1_2,1.136608521,0.184735437,1.751483372,0.088593721,0.1587687,UP,171.065231,171.0651052,171.0653691,1.010818333,0.094608,1.065446667,44,24,15,7833.344,28902.85989,6116.108279,32851.23685,7881.274549,24792.37647,25490.69358,31733.18622,23408.56336,23354.21917,37359.22482,24240.86972,26478.04973,36389.78358,23589.43339,27823.40225,38619.52058,24630.16317,25806.39306,39827.01929,25432.00207,32645.80886,45748.7795,20475.1642,25642.43218,36341.29888,32512.729,26668.80345,40196.16517,26432.09137,34841.8231,37291.42951,24911.98968,34065.24775,48933.51357,26349.12545,27726.36518,41968.58313,26201.18186,31781.0267,47239.48831,29207.0138,26118.14123,39699.48033,Pos
1211,M325T5_1,2.142286819,1.099151647,1.754048258,0.088671471,0.1587687,UP,325.0431612,325.0405287,325.0444303,5.460291667,4.406116667,6.836866667,34,16,5,10054.063,9424.293273,10679.03181,19916.89013,26006.4878,159.9245719,834.9009408,4260.659146,626.7015422,34813.45881,18519.00577,684.6772561,22034.11039,16956.48587,1592.282425,2890.600446,10989.44282,1028.58527,5532.872115,20440.69172,24492.14946,75397.03264,90415.26577,964.2650467,5227.445027,5149.889973,0,4821.997909,12766.52753,474.0496178,7350.565754,32264.54306,70313.38053,35207.07972,49642.76887,0,11398.16651,12345.86188,8056.78894,13187.82578,6286.51991,275.5025217,6183.632402,5784.104145,Pos
1212,M369T26_1,1.089248212,-0.123332745,-1.779079799,0.08873414,0.1587687,DOWN,369.1252858,369.1250781,369.1254996,26.3475,26.29416667,26.41133333,39,24,15,3252.642,35076.80046,5481.080018,32202.76158,3816.513074,46046.02428,32072.77366,37830.48245,41993.17937,31646.33184,26922.72635,41855.41443,34879.573,35569.26363,38015.96016,30381.77812,30182.33976,37870.42931,32167.31376,28718.41672,36502.22939,34919.08986,32293.77723,32450.21426,32577.77673,28723.62875,40479.63279,32444.30894,28000.20978,33568.25933,26215.28128,26503.27913,31606.82697,32081.97596,26752.0439,33771.01463,32696.27361,30889.88329,35003.96298,31793.62476,39490.23566,36692.67354,28982.39952,28427.67562,Pos
1213,M778T25,1.255501786,0.328264081,1.751413069,0.089016066,0.159015838,UP,777.5826659,777.5821576,777.5830989,25.40383333,25.34783333,25.46666667,39,24,15,114748.117,500891.4638,133525.6952,628870.1275,315627.389,429555.8009,550114.9381,612747.8236,346155.7408,500166.9638,583095.0409,705175.9923,696635.3533,702507.4183,337094.0514,336058.2803,445237.0529,397612.2135,466417.6613,404797.6255,289671.6237,405390.4795,296075.8884,45568.67031,69728.48788,61930.35096,916127.8101,1032282.374,1094028.537,563206.4993,634040.7043,590741.7927,733416.4662,776194.9789,836305.54,747943.786,939283.8811,875905.3055,306770.9731,1039941.653,812156.1353,678644.7169,590862.1799,756664.2256,Pos
1214,M567T1,1.164945975,-0.22026305,-1.755556192,0.089031817,0.159015838,DOWN,566.9259798,566.924645,566.9264617,1.288056667,1.147696667,1.36969,17,12,5,1981.515,9335.483256,2241.854724,8013.661972,2358.906347,11945.73542,10605.04922,9127.880353,12188.30388,9465.896552,7791.069553,10157.07848,6509.163811,7891.937523,12271.17337,8580.139423,6157.484822,12458.8427,8922.226265,5960.267465,11193.07865,8798.263364,7224.729425,8223.621555,6093.443325,4547.293754,11630.15668,4754.323315,6437.11589,12548.43289,11244.78086,10410.561,6961.941197,4643.306455,8502.983379,9861.953352,6292.307398,7669.780693,6663.150439,6027.327649,6454.536556,10975.35512,8424.042063,6745.402314,Pos
1215,M113T5_1,1.420112547,0.506005271,1.755959866,0.089136686,0.159015838,UP,113.0000407,112.9999579,113.0002253,4.827758333,4.7166,5.074716667,30,16,13,2999.437,9453.274385,3441.235347,13424.71357,10189.14038,5629.974293,5880.493313,5128.409518,11441.23619,15941.82614,15271.70418,12357.56546,7262.349258,8717.287931,7958.982112,5949.578992,9320.972438,10433.99016,12403.32547,8101.420324,31697.6959,23123.45626,22959.76332,4556.178783,3787.701506,2627.223725,17130.74945,14593.1247,16641.40358,3943.653992,5867.825023,5392.554141,33413.00565,22257.92927,37554.81332,11821.41309,5671.377778,12816.00735,5269.441375,11230.36845,9679.667972,7330.173073,6731.283136,6096.314778,Pos
1216,M191T26_2,1.738874649,0.798153936,1.748838928,0.089198986,0.159015838,UP,191.0701818,191.0697656,191.0704224,26.04333333,25.964,26.10966667,25,13,12,4847.182,16765.47077,19542.90916,29153.0521,24353.25021,15822.78528,6891.23853,52216.80871,12893.93129,5496.397795,3919.012575,10759.6082,5536.04733,53394.70426,10227.2418,4791.158,3885.314931,5795.003528,3829.644622,56023.16471,8566.04887,58994.04353,4895.821255,59523.12105,2877.89492,52352.27377,14072.33026,58363.63882,56436.53877,8211.813604,4916.669436,47480.88961,8897.022097,51331.59977,47903.76876,7180.355581,58740.27147,2249.749876,11509.60737,57947.02121,7048.096078,11902.91297,5282.90701,52988.85441,Pos
1217,M215T6,1.207859088,0.272452155,1.745350999,0.089238897,0.159015838,UP,215.1386163,215.1378824,215.138973,6.277258333,6.069233333,6.4103,32,19,12,2158.64,12827.67467,3541.578117,15494.02342,5995.278734,14059.29656,12321.0793,13167.29791,16440.63579,19933.29552,4776.712458,8766.265601,15741.42322,13614.58041,13817.66723,13308.00432,14659.72434,10773.45655,10139.17771,10896.50313,18654.4713,18459.82847,24163.60875,6642.248249,6004.52783,7212.676995,24509.94407,22999.72709,19844.57478,16953.1505,13328.24325,15062.92413,8425.996935,9096.848525,10225.12564,16778.39888,19047.56487,26981.06666,7972.642419,14450.27895,14270.60539,17505.74505,15755.78205,17510.58139,Pos
1218,M203T11_4,1.195810779,0.257989121,1.744881027,0.089359998,0.159100896,UP,202.9900302,202.9898627,202.9916297,11.12706667,10.31873333,11.21446667,55,24,15,3103.221,20788.47332,5834.136441,24859.08048,8726.800449,10217.4711,14181.39471,20099.80951,16472.14123,17918.11793,31191.32194,22273.34222,21222.20501,31460.86837,17048.98487,18583.37798,22566.24898,18878.6449,22564.0849,27149.08609,33793.28573,43045.76052,42351.45635,15499.38192,20748.43294,18634.27714,21455.22779,23486.58374,32520.57182,19289.84664,25457.54623,22835.82652,27938.78791,35545.54001,31564.68253,24273.02898,29480.79493,30660.91515,7687.060145,21246.50565,15151.77024,15499.66906,21085.35778,17365.62169,Pos
1219,M230T26,1.2873336,0.364385963,1.74174472,0.089995159,0.160100323,UP,230.2477909,230.2477078,230.2479096,26.03541667,25.57816667,26.39516667,34,19,7,10299.428,163812.3748,69405.29381,210881.1742,99094.32016,62635.14007,217128.1987,222725.4097,126967.128,203746.5295,143028.2606,90877.82141,266476.2153,202045.3993,86447.67895,104866.9755,277432.7567,128289.0655,219476.7843,105042.2582,251980.2641,231581.3016,226180.8724,107121.1923,276885.0036,154296.7716,81960.09423,139262.767,554782.9361,343872.15,95728.47363,270887.7676,143915.9553,268409.2213,235693.3558,128543.9804,225426.4348,173750.0717,241809.0827,228502.1408,114514.14,154088.4062,207477.0891,204478.7084,Pos
