,name,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_pos,29M_pos,maxint,mean1,sd1,mean2,sd2,3M1_2,3M1_3,3M2_2,3M2_3,3M3_2,3M3_3,3M4_2,3M4_3,3M5_2,3M5_3,3M6_2,3M6_3,3M7_2,3M7_3,3M8_2,3M8_3,29M1_2,29M1_3,29M2_2,29M2_3,29M3_2,29M3_3,29M4_2,29M4_3,29M5_2,29M5_3,29M6_2,29M6_3,29M7_2,29M7_3,29M8_2,29M8_3,Mode
11,M137T11_4,1.626882993,0.702110495,10.24885154,6.46E-13,1.20E-10,UP,137.070842,137.0706638,137.0710495,11.41343333,11.35306667,11.46143333,47,23,24,599480.75,12873138.73,3038754.935,20943090.46,2290083.253,15705835.83,16475620.6,9934095.976,10006044.84,6678762.292,6722835.623,14762836.4,15010074.55,14441607.21,14761070.22,14218212.22,13783642.39,13014328.66,13436921.47,15039918.39,14855952.18,21023001.75,20343146.89,21233469.55,21439147.57,16533636.95,16544922.22,20469771.4,18652092.45,23682913.71,23122986.99,22072176.96,23319586.94,23263891.38,22618144.58,22229538.97,20815268.34,Pos
12,M138T11_2,1.63242945,0.707020643,10.10032432,9.08E-13,1.54E-10,UP,138.0741366,138.073979,138.0743135,11.40086667,11.35333333,11.46143333,47,23,24,45487.215,940730.3224,225966.6773,1535675.883,173176.9767,1158001.078,1214656.023,725186.7402,732753.968,484085.9966,463423.4205,1099876.7,1075865.501,1084547.32,1049809.698,1020984.17,1026356.847,949450.5558,961719.6778,1086533.86,1080350.788,1543387.98,1435220.586,1495137.867,1593824.072,1216425.417,1220163.019,1478538.585,1364695.802,1788722.145,1708689.72,1689012.627,1725436.587,1741888.465,1625724.717,1647813.245,1510043.122,Pos
13,M201T5,1.862131991,0.896955337,10.02411083,1.80E-12,2.82E-10,UP,201.0537698,201.0518464,201.0540652,4.844933333,4.05805,5.084083333,51,23,24,101040.758,411918.6414,96347.10885,767046.8797,142954.7531,399387.08,365826.0181,296924.293,280482.3244,301031.7583,282694.7656,466529.8611,386205.3984,549942.5147,527270.5536,506603.6953,538780.2505,390425.2639,430258.6266,496917.2263,454570.1441,746198.0855,771609.687,702809.4021,729032.4223,619709.2036,605825.7658,652750.0217,631108.4494,777278.4719,771739.2373,738255.049,693549.6092,1129301.98,1071322.47,833858.256,836693.7766,Pos
14,M198T5_4,1.565296223,-0.646435704,-10.85169878,2.27E-12,3.14E-10,DOWN,198.0970351,198.0965456,198.0973806,4.837525,4.785066667,5.186566667,48,23,24,236254.375,3172246.19,453611.2938,2026610.775,229741.6816,4029210.19,3771437.524,3576128.569,3244474.139,2807227.43,2587782.698,2972528.438,2783680.878,3557459.849,3270860.93,2915682.428,2955078.328,2941451.388,2742888.507,2787283.111,2724547.687,2329214.307,2325866.006,2118864.12,2307005.978,1876938.316,1885584.328,1969669.48,2000985.132,2187706.584,2041811.73,1796756.387,1739559.504,1741923.004,1605409.265,1862250.934,1857642.154,Pos
15,M137T11_3,1.613619463,0.690300391,9.814530195,2.31E-12,3.14E-10,UP,137.0592908,137.059109,137.0594964,11.41346667,11.35216667,11.47203333,47,23,24,11238.508,232930.9408,56174.1112,375861.8996,42395.22126,277228.986,292500.8634,172187.3696,182565.5751,118966.566,126700.5528,263433.6066,287123.1185,266403.4359,279754.883,252848.2305,266122.9935,234063.6362,259310.4939,268990.0746,278672.2728,373167.9587,379433.7326,372458.0916,400680.9232,292322.091,305070.2479,356832.9641,340419.9989,424220.6268,411569.265,407608.7235,415805.6971,437832.2443,400514.2853,407687.1689,367475.7488,Pos
16,M159T11_2,2.054621281,1.038872493,11.01846521,2.49E-12,3.18E-10,UP,159.0526342,159.0524854,159.0529185,11.41345,11.38243333,11.47203333,18,0,18,2253.177,17164.44159,3218.124089,35266.42697,7346.461392,21263.6784,20617.46442,13512.30952,13795.05331,11829.02275,11877.35304,19917.85476,19103.48915,20619.71044,17271.72354,17542.74267,17971.04332,16307.91391,15835.07194,20056.39108,18962.56631,36176.33861,29457.73226,37149.83615,32864.73031,22036.74662,20207.70718,30880.48402,28682.66311,43028.99072,34608.02944,45533.5274,36811.1569,41062.83101,35864.8131,36227.15571,33650.79791,Pos
17,M308T4_3,1.761382665,0.816708372,10.37349504,3.05E-12,3.48E-10,UP,307.943381,307.9429584,307.9437228,4.11655,4.070183333,4.153116667,47,23,24,11295.25,86123.08591,14600.8297,151695.7106,27138.89144,81513.31612,79737.55443,67893.77999,57646.39706,73660.13214,73482.69212,101845.6925,88905.01474,93361.5889,97449.25639,106997.4913,109106.6405,87418.90406,86619.6854,95494.00132,91187.6614,136774.3067,139761.5931,126538.108,117777.9414,138256.2559,133098.7358,124932.0156,126378.6647,137396.3562,142328.9647,184361.2316,193027.9969,161467.2646,163508.6827,183192.1741,202072.2249,Pos
18,M309T4_4,1.894207711,0.921594539,10.3244733,3.06E-12,3.48E-10,UP,309.093414,309.0888997,309.0941905,4.10775,4.070183333,4.833533333,51,23,24,365739.844,2547130.113,516654.3919,4824793.5,943129.84,2043304.556,2157915.6,1881233.443,1773614.193,2220911.893,2328537.651,2785065.827,2821376.272,2659791.411,3079949.24,3471216.82,3264728.129,2714642.865,2823881.506,2813199.493,3038407.64,4221761.406,4646619.097,3943232.661,3936245.507,4531684.646,4341435.418,4018769.856,4133288.599,4235234.76,4660145.841,6356977.295,5937307.272,5257524.351,5334500.071,6264784.71,6581174.564,Pos
19,M173T4,2.959267298,1.565240015,9.66510822,3.70E-12,3.97E-10,UP,173.0205154,173.0202595,173.0209013,4.122866667,4.040733333,4.42435,30,5,24,3901.132,10705.754,6139.907324,31681.1877,8584.825789,17259.79005,19445.23867,9244.601677,7146.582114,11108.80213,12491.17929,7223.798582,23119.52359,11585.59032,12183.44896,13708.25544,20570.19311,11610.36837,15092.10731,14018.17703,14464.83261,38182.04176,35452.20463,38259.49422,44759.33602,44730.67223,38665.63986,29558.03648,28119.23285,33884.53887,24376.68323,39506.94373,31931.92161,27745.72154,20460.08528,31009.12103,23520.50217,Pos
20,M609T4,1.616181409,0.692589143,9.263962844,5.51E-12,5.63E-10,UP,609.0924566,609.0910721,609.0959956,3.740066667,3.6731,3.978966667,49,23,24,22025.609,115381.7288,25377.29586,186477.8051,27231.14274,111407.9938,85045.62409,92805.06702,78047.34875,81511.47274,84840.25374,147507.9917,110681.4031,131703.8463,129677.5947,149508.6151,133742.1543,140148.9449,151992.7088,108639.008,98928.41473,187003.4068,202387.9433,104889.5357,203174.074,178336.9506,172116.4047,191350.1919,181752.4762,194133.8129,207471.2823,181052.6689,161068.693,157242.6405,211441.0103,212321.9793,222537.3099,Pos
21,M308T4_6,1.712930636,0.776466731,9.968084522,6.88E-12,6.69E-10,UP,308.1290423,308.128633,308.1352079,4.116766667,4.070183333,4.153116667,48,23,24,41541.508,335507.0907,57054.98998,574700.3741,102090.5779,292409.8077,301126.8724,255657.6336,259687.216,277722.232,308702.2836,358448.0775,393903.1725,349448.2078,386528.8241,408274.5211,452639.7355,331327.7312,361052.0702,363405.6383,390764.4381,499944.7505,575072.2074,506764.4663,473930.8758,547206.9469,540796.8945,479077.4453,444401.4236,517928.4429,543605.1807,734123.9833,759805.424,618338.3792,621045.3749,694850.0843,771629.132,Pos
22,M308T4_7,1.775208959,0.827988853,10.12594652,7.65E-12,7.10E-10,UP,308.2370104,308.2365569,308.2376909,4.116983333,4.070183333,4.137533333,47,23,24,11703.447,87558.09905,14973.15763,155433.9219,29059.12734,82972.29777,74707.84837,71958.85997,57747.30751,78289.39763,76456.02776,98069.71276,95914.39551,97176.37981,93733.77135,111116.4378,114811.0989,90887.71942,90286.5834,97696.50092,82711.86265,137293.2144,142114.0826,127471.1328,119452.466,143776.998,135345.0146,129369.5325,116518.5492,143407.4452,148722.4545,199345.0684,198061.5364,164489.2544,167312.8739,192057.9083,202722.8095,Pos
23,M308T4_4,1.725125991,0.78670173,9.91279369,8.28E-12,7.35E-10,UP,308.0512607,308.0508397,308.0517536,4.117566667,4.070183333,4.153116667,47,23,24,41342.25,333232.5477,57706.12303,574868.1292,103855.2937,283912.8006,286364.4105,253389.8631,264199.4755,272757.3533,311360.7137,350689.6185,397686.7185,343968.8854,389509.983,406231.1156,455960.5636,324582.5722,352317.1498,361856.4701,380857.2343,496022.2803,578527.1981,459251.6953,476467.5441,540702.5278,548745.9127,497327.7447,489952.5952,512107.6958,550783.8456,740347.0614,778999.414,610394.7858,627061.5652,659858.1272,764912.7862,Pos
