,name,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_pos,29M_pos,maxint,mean1,sd1,mean2,sd2,3M1_2,3M1_3,3M2_2,3M2_3,3M3_2,3M3_3,3M4_2,3M4_3,3M5_2,3M5_3,3M6_2,3M6_3,3M7_2,3M7_3,3M8_2,3M8_3,29M1_2,29M1_3,29M2_2,29M2_3,29M3_2,29M3_3,29M4_2,29M4_3,29M5_2,29M5_3,29M6_2,29M6_3,29M7_2,29M7_3,29M8_2,29M8_3,Mode
227,M310T25,1.496969234,0.582044571,5.3237381,4.35E-06,3.91E-05,UP,310.2352449,310.2348424,310.2358009,24.92266667,24.884,24.962,44,23,21,4644.491,17621.81789,4399.183133,26379.31923,6689.518042,22243.1391,25848.68336,12797.03836,12887.82994,13225.35262,13652.44724,18394.88803,24692.53304,16924.4856,23510.13915,19079.37517,20803.99978,14412.82237,12258.53989,17707.66262,19432.09585,20455.70461,25950.17144,21198.76565,24134.56698,33151.33925,37274.4669,18549.28361,25287.53183,27698.92271,24174.31199,19777.26689,17526.21486,33382.21705,33600.39847,34195.45886,39074.45103,Pos
228,M84T4_2,1.309643172,0.389173786,5.380535839,4.38E-06,3.92E-05,UP,84.04486497,84.04458096,84.05036708,4.168416667,4.119483333,4.92485,137,23,24,4772.337,34860.51839,4923.982927,45654.8399,8443.601016,39555.7241,39407.68559,32611.79502,34084.79642,25500.38016,26647.62594,37460.22912,40995.58614,36984.81654,38853.11563,36716.51113,39281.8109,28356.19498,30573.64717,33403.14902,37012.01101,38238.95652,43481.38625,35480.21944,38444.50125,41776.70479,42719.27631,32956.32829,35764.81492,44151.39733,46454.93948,62041.84634,61082.71031,48290.51291,50765.68677,50553.50134,54820.38138,Pos
229,M249T5_4,1.289395066,-0.366694369,-5.495428886,4.53E-06,4.04E-05,DOWN,249.1834032,249.1830319,249.1839139,5.124333333,5.104983333,5.163216667,47,23,24,7173.69,79425.79116,13981.73314,61599.26715,6968.367529,98990.93428,102553.379,68680.85946,66026.44805,62591.97224,65700.6969,87135.14953,86065.19518,97630.37885,97069.76951,84090.55808,86916.25313,78280.44467,81063.74065,81698.6289,85867.30802,53194.45756,58876.45875,59726.51512,64302.07638,54148.40581,52735.31728,62491.12196,58825.21135,70730.08141,69323.52486,53219.46485,53451.77168,73006.98794,68222.07672,70220.71134,70672.76792,Pos
230,M415T25_1,1.568966162,0.649814238,5.213181358,4.60E-06,4.08E-05,UP,415.2115936,415.2108291,415.2124624,24.89058333,24.843,25.45033333,50,23,24,144830.906,865040.3458,304863.5106,1357219.031,341960.8012,994404.3124,924345.8184,433797.8278,517349.954,1344305.062,1462873.402,1166181.182,994279.9776,565224.1603,575410.5281,781673.9694,733438.9872,644303.7158,617599.2266,852438.2162,824917.313,1162440.246,1036596.933,965669.3484,1023154.132,1731292.998,1639933.209,988967.4529,1323431.594,991197.7379,921399.2294,1614419.24,1750098.791,1478330.083,1848137.777,1510546.28,1596601.722,Pos
231,M774T25_1,1.887000687,-0.916094948,-5.248883041,4.83E-06,4.26E-05,DOWN,773.5875841,773.5860847,773.5903246,24.55833333,24.50866667,24.61233333,43,23,20,47858.617,374196.2301,95966.86025,198302.1165,131686.2332,263816.7565,171968.6715,345851.614,394787.657,442115.2673,484212.4591,270811.0373,259586.7939,386620.0967,399869.4225,382458.0212,388114.1621,468982.964,517088.8705,416819.9642,463222.5478,290394.3554,258938.1014,332693.9359,375728.8953,141075.174,147126.3314,400293.9831,437912.3385,142165.3137,150180.2479,7055.233394,7310.272734,240342.7079,174125.6814,22923.17558,56133.83899,Pos
232,M747T25_5,3.6126562,-1.853059967,-5.976559753,4.84E-06,4.26E-05,DOWN,746.7516192,746.750967,746.7532276,24.6895,24.6645,24.7355,13,13,0,3911.609,11662.49643,8843.203102,602.4424651,767.1117262,1531.566939,224.4677864,17898.29127,20626.6002,27881.58345,33159.51801,1657.192639,1659.663828,9444.745664,10611.08817,8784.75768,10262.81517,20705.02226,18261.35172,9378.731751,8422.917987,457.8734974,1435.763224,2694.701967,736.8315168,516.6802752,687.0225468,944.5455108,622.0759711,0,0,0,0,0,360.12505,0,0,Pos
233,M411T25,2.325182069,1.217343688,5.573974498,4.95E-06,4.32E-05,UP,411.3579152,411.3516323,411.3584913,24.56716667,24.34933333,24.62566667,17,2,14,2862.94,6437.315288,2812.0658,15547.10238,7473.575705,10438.4489,9437.571158,9119.199073,8468.57898,0,1145.975677,6982.287919,6151.672133,5725.54336,9290.66404,8834.068182,9723.768743,5211.734236,4276.391342,4999.246305,7731.400231,5244.038613,12365.81695,12806.78819,12330.51899,16285.28577,19040.64898,10779.29321,12515.86937,24408.10091,20490.51825,5263.127362,6317.076382,25345.32046,21816.72942,22917.84387,31476.62163,Pos
234,M143T18_1,1.621049873,0.696928478,5.57863858,4.96E-06,4.32E-05,UP,143.0188686,143.0187564,143.0191135,18.45466667,18.24433333,18.5455,15,0,14,3456.845,40724.04637,7730.089712,66015.71021,20759.23817,46527.28558,46849.29447,33426.85667,32016.34547,32124.10683,33707.44203,43521.20553,46430.48827,46015.67668,42656.35478,54983.15727,55072.00552,37561.89089,36230.31237,45797.71167,42268.20208,71688.06,83961.11033,54629.63358,55326.44828,63452.5738,61691.67277,52338.06201,50555.64472,54765.17321,53202.07223,68568.61807,142794.7714,57234.08381,78839.10502,74244.23985,81810.98653,Pos
235,M313T27_2,2.128685306,-1.089962685,-5.384492322,4.99E-06,4.33E-05,DOWN,313.2739225,313.2734583,313.2743349,26.742,26.67333333,26.86616667,31,23,8,4852.548,51351.15131,21184.11914,24123.41136,12058.42611,31064.45412,27001.4299,95331.88427,85515.52769,69089.56342,37633.56257,40082.35699,45066.27605,61838.4761,42015.22771,39699.86116,44586.04037,63446.06961,34493.5489,77211.07006,98873.11454,32857.10337,39333.4714,50936.76197,32054.08644,17369.78589,20589.95894,37405.37823,50722.75585,18619.28197,19929.13496,8738.086323,8676.10694,20981.51105,22077.80938,13848.2686,13936.40037,Pos
236,M610T5,2.054419949,1.038731117,5.279044096,5.03E-06,4.35E-05,UP,610.0889117,610.0877026,610.0900548,4.90475,4.853316667,4.94445,17,2,15,3217.034,5707.986602,3043.616844,11726.60154,4639.963637,3989.690672,5359.298707,408.0743618,3555.87542,2681.832327,2837.750309,4865.33749,6487.049682,7713.057213,11242.81378,9125.943954,8452.435857,4941.900284,3858.705458,9140.974773,8236.7254,7689.026882,9822.292888,5728.039811,8589.231929,10512.57287,14060.63424,10589.7617,11538.96975,12183.99139,9760.501685,14537.62431,15837.23574,7169.23966,23060.94503,10786.16917,21026.28405,Pos
237,M788T25_3,2.78213321,-1.476191498,-5.464652744,5.05E-06,4.35E-05,DOWN,787.7618196,787.7602771,787.7641214,24.62133333,24.53016667,24.70016667,30,22,8,4513.504,23979.89541,13083.91578,7425.70654,6450.662984,10075.67734,12228.17336,28310.80075,30922.0903,12109.74702,52132.14682,15387.51315,12302.63263,26722.23002,28065.3949,15379.71282,13116.99901,42855.33719,44460.32598,31254.49525,6097.94112,15263.68083,12081.94486,21912.7953,20805.58644,3386.665732,3921.593779,4838.667232,10298.54672,5874.101793,5626.164877,0,0,8210.092379,5747.935055,0,0,Pos
238,M613T4,2.457521254,1.297203894,5.365337747,5.20E-06,4.46E-05,UP,613.1611513,613.1590635,613.1642571,3.854975,3.740066667,4.090016667,24,3,19,6562.212,9834.331701,6722.294664,25392.35168,12435.76058,8946.902526,12562.92137,7433.944868,10814.9747,6098.529283,10827.38892,12736.42123,18352.12843,13843.69536,16721.68515,9659.262452,22440.90478,15076.4927,17044.05782,15103.61035,17592.73424,18549.31763,27317.95719,16094.68529,17776.99406,13657.03127,23844.30056,19634.26038,35530.24103,21070.94873,16389.68793,48617.7168,49072.36075,31190.83937,36863.52581,53181.0693,31430.81356,Pos
239,M307T4,4.038364491,2.01377113,5.7313395,5.26E-06,4.50E-05,UP,307.0830857,307.0826701,307.0835424,3.813183333,3.769166667,3.855916667,33,11,22,11306.503,14114.29202,8403.095466,56998.65572,35637.0759,11329.86881,18804.17803,10018.65852,12938.85034,7122.991491,11396.1446,15671.71661,24086.62677,18714.83381,26138.38346,22993.88527,30814.91184,17412.96984,25600.13852,13081.39924,23396.83032,39567.40531,56003.44886,37844.59194,54222.01757,39738.07497,57760.39705,42497.25152,54769.15887,53892.80593,69133.22385,109912.5258,122643.9488,74420.9426,100023.0494,112293.6778,128063.5338,Pos
240,M118T9,1.107582178,-0.147413745,-5.160785255,5.46E-06,4.64E-05,DOWN,118.0863913,118.0862855,118.0867647,9.457983333,8.629366667,9.526816667,31,15,14,22035.121,657082.2044,40165.18282,593258.1956,44579.23399,619551.2124,659857.4503,653647.2856,652582.2973,722262.2112,759044.4863,616834.8683,638581.8723,620539.5802,609576.44,621216.747,660610.6733,685371.5589,663932.5077,642157.5257,672933.0659,603516.5371,623779.7326,649200.3899,637230.399,639839.4287,619512.5313,637033.5783,639825.715,593762.7403,578878.741,522453.5812,516338.4015,601845.9167,587596.2044,598765.2634,619054.2976,Pos
241,M249T5_5,1.330784943,-0.412277448,-5.461523818,5.55E-06,4.70E-05,DOWN,249.2619501,249.2616115,249.2625128,5.130308333,5.104983333,5.163216667,36,21,15,1881.279,19567.40196,3881.13494,14703.65446,1820.899409,26153.20455,25562.31522,16285.69045,14865.40241,16642.8876,13798.93264,22824.67911,20552.24755,25305.59384,21892.51172,21301.78679,19851.22608,19078.3731,18976.37781,21359.9404,18983.64516,12363.95441,13904.95056,15179.37679,14411.74007,12624.57094,11981.30716,14878.39632,13954.396,17962.99337,17367.86799,12125.27037,12741.75655,16742.88393,16107.81464,17485.66143,15817.84011,Pos
242,M285T9_4,1.402561194,0.488063717,5.488932483,5.75E-06,4.85E-05,UP,284.9720243,284.9716455,284.9726371,8.583833333,8.501766667,9.329566667,81,23,24,1470754.125,7637477.304,1018079.357,10712029.29,2539394.044,9040590.136,9838924.34,7547654.396,8250971.214,6484060.891,6682434.746,8697412.226,9060585.066,7864225.042,8108895.503,7948220.086,8352385.802,6373742.194,6963303.424,7255968.554,7453849.995,9027924.79,9606806.263,7986058.79,8484714.127,10286034.79,10786204.53,8124275.711,8243377.785,10685378.63,11062492.94,15886827.13,16106434.26,10884660.71,11334003.75,13016491.24,13763221.22,Pos
243,M249T5_3,1.266830618,-0.341223642,-5.365308023,5.91E-06,4.97E-05,DOWN,249.1550569,249.1540041,249.1556881,5.127333333,5.104983333,5.62905,55,23,24,534042.938,6066999.012,1012489.01,4789116.18,540140.8705,7638249.007,7757451.848,5300839.309,5047690.41,4908726.158,4715125.195,6688039.301,6400382.507,7372413.376,7042086.263,6366251.966,6390470.11,5955055.12,6046038.487,6374149.463,6284803.838,4282132.131,4348307.932,4664367.044,4775642.443,4240418.076,4070755.311,4801714.75,4615688.195,5540156.688,5482558.9,4080012.213,4202549.184,5620619.764,5383690.026,5254182.775,5575663.657,Pos
244,M172T6_2,1.788820414,0.839008557,5.218918936,5.94E-06,4.97E-05,UP,172.1191377,172.1187395,172.1194305,6.498016667,5.5629,7.067033333,63,23,24,29285.971,274517.8966,112214.7123,491063.2173,167866.5493,230410.1936,248644.8443,111901.0221,146054.9335,225731.1401,364430.4459,249416.686,341564.6899,378397.8456,292478.2991,358508.2213,627857.4103,182729.7534,269169.0754,281389.346,327214.4676,835349.3358,830242.173,599225.3769,551440.0574,429569.4646,404477.9799,431388.2693,662994.5011,415779.7816,398842.9955,301544.8928,336999.7138,459940.2184,448303.5682,493033.261,358289.9035,Pos
245,M203T9_3,1.323879608,0.404771931,5.338835866,6.14E-06,5.12E-05,UP,202.9691189,202.9683341,202.9695457,8.59075,8.200733333,9.229516667,83,23,24,2122225.5,13949511.03,1880976.389,18467473.2,3673584.82,16061729.82,17717398.99,14118211.16,14713817.45,11494086.93,12263084.5,15377993.51,17797072.76,14451206.4,15227022.47,14330945.64,15227853.52,11774536.59,12923001.67,13049525.27,13557222.03,16217910.91,17091224.02,14042848.62,14466513.59,17383457.87,17928437.58,14673869.2,14776069.9,18324646.13,19038997.25,26774082.39,24562689.52,19782246.68,20306762.09,22136624.13,23880986.11,Pos
246,M606T23,2.289440771,-1.194995242,-5.157030887,6.33E-06,5.26E-05,DOWN,605.5540786,605.544945,605.5552273,23.39916667,23.212,23.66533333,23,17,2,2642.71,18275.2377,7943.13823,7504.986,6232.439802,11943.25608,6406.453987,17877.9942,17829.30819,18282.87568,26482.19393,15510.12729,12036.80596,15564.38616,20293.22298,22510.73161,17297.9316,25091.17303,29884.59769,12723.18151,10293.01754,16215.46357,14602.83924,21190.37426,16391.63721,3880.371991,7523.764549,9174.027703,11481.14259,1220.551947,7215.700792,0,201.0024082,3789.739207,9738.177372,2312.444892,2796.364294,Pos
247,M77T5,1.440299093,0.526368433,5.186176783,6.60E-06,5.44E-05,UP,77.04315056,77.04305348,77.04329916,4.805041667,4.780033333,4.869683333,14,2,12,3445.185,10961.17112,2516.313329,15787.36482,3765.199222,9641.442699,11572.37639,10433.45102,12065.61479,7974.120968,7837.162833,10097.46781,11970.37581,15116.11616,15183.71579,15588.54602,13330.88319,13227.53636,11339.16888,10826.87176,9430.598981,15582.83456,15627.53634,15379.60397,13240.85171,13522.85367,11103.96649,13335.80879,13633.30211,16916.87565,18875.164,16567.37572,13031.5399,25414.51065,20826.84806,14442.56933,14862.63348,Pos
248,M759T25_1,1.656802674,-0.728401787,-5.402510947,6.61E-06,5.44E-05,DOWN,758.5702198,758.5668798,758.5769213,24.53175,24.48266667,25.504,84,23,23,2464422,25826337.7,3668444.292,15588058.92,8494161.095,21021435.5,21333426.15,27116788.88,28714496.74,26674462.97,28971191.63,20391462.17,23499043.39,26649789.13,27320341.96,25079906.1,26235488.26,30588032.26,33683376.79,24500191.34,27380151.14,21364256.32,20959430.54,23809850.2,26602296.29,13278238.1,14540633.17,25183009.67,26805422.99,13468074.19,15234636.29,223250.7255,315689.8884,17584866.79,18130739.34,5905919.928,6916067.033,Pos
249,M285T9_2,1.401738562,0.487217298,5.410052804,6.63E-06,5.44E-05,UP,284.937336,284.9314416,284.9378583,8.5494,8.501766667,9.229516667,49,23,24,19462.07,90875.01129,12878.59741,127383.0076,30328.86536,103829.1518,120300.6033,89227.20134,94436.38413,76067.32086,87319.51664,99641.85777,112363.9027,92150.209,103928.8448,94517.15318,105414.0509,76022.01136,87061.7056,86174.22243,92063.22193,108603.5928,117277.2367,92020.40056,104828.893,125667.0487,124621.176,95292.05322,99439.5111,127609.3391,130580.5146,199665.405,182756.0298,130714.9651,130261.5035,161611.49,159119.89,Pos
250,M735T25_2,2.272844255,-1.184498828,-5.245424276,6.71E-06,5.48E-05,DOWN,734.7127277,734.7115144,734.7147109,24.58466667,24.46516667,24.6685,35,22,12,5303.587,39323.32845,17811.86735,16585.24925,10950.9648,26634.02164,25684.8032,40104.15869,49105.04755,65524.71329,76474.30806,14732.3142,23303.28509,17824.94525,14385.7924,29922.5247,37240.64108,52666.58858,62674.34294,50120.38173,60441.85189,27628.15242,28072.49594,29888.60348,18954.86154,11207.57759,11446.94214,33054.87148,32717.98418,18744.53248,17362.47097,0,0,28438.02281,22166.25846,3634.192793,6429.708413,Pos
251,M791T25_2,2.236875509,-1.161484967,-5.174752422,6.78E-06,5.51E-05,DOWN,790.621664,790.6192572,790.6286422,24.65141667,24.54883333,24.921,42,21,13,29772.957,130907.1906,55128.972,58522.3407,39046.76949,59034.03549,61645.08112,126925.2557,186222.7267,167739.5132,217204.6485,116587.6156,9324.8716,101293.3103,163287.1883,79230.78586,118085.8964,167703.1008,222933.8238,150067.1651,178619.0982,115842.8423,45255.50373,125277.9957,75669.42083,55542.78941,59393.61263,113964.8872,90493.32538,61817.34673,64979.40979,3399.915763,2796.720341,58456.78756,25931.07947,30527.20672,34570.74725,Pos
252,M126T5_2,1.37895817,0.463578695,5.10241855,6.85E-06,5.55E-05,UP,125.9067864,125.906662,125.9068903,4.909766667,4.861916667,4.994566667,45,21,24,2998.292,20834.69867,4843.974998,28730.17796,5743.030927,20759.16064,13055.83949,16537.75878,18830.65658,17702.3258,17462.52475,18415.4453,21002.24577,13379.72347,24222.10593,20922.75497,26671.31786,17130.56805,20991.46177,15650.12212,31694.05465,24982.2449,33129.6313,24058.57122,31009.58559,19148.45748,19731.68672,26536.36519,28140.00678,25551.13135,36070.51756,28069.48715,33944.59816,30075.94813,32429.03984,32355.64258,42357.309,Pos
253,M347T7,1.520208167,0.60426889,5.219082538,7.02E-06,5.67E-05,UP,347.1424348,347.1420374,347.1435967,6.747233333,6.645766667,6.8145,46,23,23,5505.255,29804.84594,7396.777503,45309.57022,12438.6938,41702.49326,45511.59525,39700.54558,40342.59454,21491.6568,24749.07856,32517.93328,36539.71537,36586.14433,34828.10558,25697.262,25285.04018,19373.78214,27861.19702,26864.32688,27744.77263,54348.59531,75564.26661,57771.5459,63706.10457,39531.577,43148.97098,31478.90984,45027.05757,45757.37536,48912.77242,48902.58609,54203.57107,35888.60481,15128.31426,46083.57171,58778.88108,Pos
254,M313T25_7,1.362026127,-0.445754378,-5.096073336,7.24E-06,5.82E-05,DOWN,313.2738145,313.2734334,313.2744157,25.05716667,25.01683333,25.10983333,47,23,24,20030.691,148425.8093,28657.78557,108974.2747,24111.91304,126266.0278,116906.7396,151800.3533,146591.6165,194890.4845,218857.0992,121357.6454,116928.7117,120569.4847,128314.2365,127854.2229,142253.7974,192206.5871,169802.0461,166039.1965,176469.9783,101148.3197,112225.1658,144809.3598,109785.6076,99143.5203,125053.7791,131683.0834,152633.7064,108374.3002,119005.4494,77385.84426,79672.78007,106229.9387,133530.909,88446.1208,90401.85514,Pos
255,M249T5_2,1.287604196,-0.364689183,-5.329301697,7.42E-06,5.94E-05,DOWN,249.1269078,249.126619,249.1273841,5.127183333,5.104983333,5.163216667,47,23,24,7088.956,79700.53356,14408.0666,61898.31767,7154.502551,98339.0921,102845.494,67986.56957,65367.85586,61488.92806,65034.35047,88571.84144,84908.22232,98019.14116,98339.32702,86819.55723,87711.13286,77030.6396,82468.06595,83739.14811,85750.49198,54393.21571,57668.79407,60658.42971,64695.18142,55061.50995,52744.27652,62854.47083,59440.1872,70565.854,69994.19421,53355.48765,51842.00774,73567.85599,69523.53149,71903.18834,71604.09178,Pos
256,M695T9_2,1.791607853,0.841254895,5.208099962,7.47E-06,5.96E-05,UP,694.9902193,694.9885324,694.9917636,8.506483333,8.43915,8.656683333,38,21,17,83885.531,133927.8265,50002.95294,239946.1457,85651.72173,68218.59866,139401.0452,65531.06319,181708.902,89535.23231,80435.0376,216742.7379,140246.0456,67726.49781,171032.122,193330.8658,121972.3439,103759.2968,168092.1166,203594.9034,108288.7652,215042.6128,182878.6874,137236.4594,166437.8285,186284.4389,235531.6339,226148.1661,245843.6768,79321.33339,169850.9117,396745.0982,373247.2624,299443.7094,332722.0854,247638.0974,378988.8661,Pos
257,M631T25,1.839410655,-0.879243603,-5.091704602,7.59E-06,6.03E-05,DOWN,630.6229143,630.6219112,630.6240287,25.405,25.34133333,25.44733333,14,14,0,2359.524,16533.84401,6095.164913,8272.539093,4941.059546,15960.83281,9210.426875,21165.45202,26877.23995,17923.16836,30221.26167,10476.75492,11087.01571,14880.58779,13428.41882,7699.910637,15274.46415,14719.55843,15528.96527,25693.53492,15559.19968,9238.979167,10226.71625,12288.34682,13549.70343,9365.02063,7196.916922,14358.92632,13554.0045,7318.30593,9269.841536,0,0,12840.51227,11944.48955,689.7285251,3644.330153,Pos
258,M759T25_2,1.68115489,-0.749452651,-5.228559116,7.62E-06,6.03E-05,DOWN,758.7187896,758.7171668,758.7205826,24.50758333,24.48266667,24.5445,44,23,21,18494.643,192332.0803,35125.23814,114404.7354,63590.87392,152003.5261,163234.2864,198186.7297,224956.2903,196922.3594,223126.7584,152119.1589,183581.8602,200956.9553,217956.074,185656.5339,207460.7569,230395.4848,266351.3046,186795.1184,211972.1015,162103.157,159829.0131,179265.7699,192603.013,92895.67195,106271.7327,187185.855,202233.4899,99982.92722,110274.2498,941.9772091,244.4139521,133550.4423,131463.7772,42385.20444,48084.40356,Pos
259,M426T27_2,1.738150648,-0.797553128,-5.163598685,7.78E-06,6.13E-05,DOWN,426.3574161,426.3571001,426.3586098,26.7875,26.73616667,26.85433333,47,23,24,402496.406,4878279.363,1616773.422,2806591.803,1065673.991,4930895.689,4925081.503,6363905.775,10557475.62,4605374.654,5315262.979,4158962.249,3948558.402,3353593.039,3358603.394,3770674.852,4356484.413,5964862.373,6913469.918,5855410.018,5518410.773,2791524.54,2806347.225,3925545.92,4407137.342,2337045.126,2184524.226,4133219.55,4756896.853,3014936.331,2932821.526,929458.3826,783084.8331,3705043.632,3485594.344,2056729.332,1980082.795,Pos
260,M130T4_1,1.385977986,0.470904343,5.248892653,8.16E-06,6.41E-05,UP,130.0094886,130.0093351,130.0096304,4.1718,4.120366667,4.90475,51,23,24,8581.61,55922.59378,9074.341949,77507.48389,17886.74082,72284.49279,66490.62619,54870.49628,50399.74249,46566.82924,43624.24551,68493.39027,59752.27327,59001.05411,52353.96658,59434.93961,54952.53442,47242.07507,42051.36384,52081.86304,49584.38722,69156.64037,76102.29103,65188.4105,54881.11098,76387.3906,73040.43584,55147.20829,54477.43916,74106.48513,76214.6593,113423.0497,116105.2701,68880.20515,67300.64218,82329.67191,90291.93987,Pos
261,M727T25,1.99467111,-0.996150888,-5.034000857,8.37E-06,6.54E-05,DOWN,726.5436556,726.5406015,726.544977,24.66583333,24.465,24.734,39,20,16,9198.811,50425.50641,17703.56516,25280.11068,16485.88275,37443.79296,43113.23429,81663.09511,76934.77483,8227.194829,41699.75589,38773.07409,39311.112,54223.19916,40913.08333,43374.19728,47745.87981,58342.7151,57923.90654,57400.27429,62121.60294,13491.34352,50404.46262,44116.99,62358.59928,10913.77601,15505.2601,27871.06126,56195.93786,17297.34903,18519.00268,1725.630454,1348.570053,19297.5738,32522.22628,17182.30812,21673.31421,Pos
262,M110T5_4,1.606630239,0.684037935,5.030545805,8.41E-06,6.54E-05,UP,110.0586132,110.0584609,110.0588231,4.92515,4.902,4.961366667,44,20,24,4662.725,32831.36489,12901.36947,52747.86361,14230.52031,22392.6892,22502.19004,18276.30127,19736.48972,20239.47949,18555.66661,33088.74615,32026.64303,47083.20882,42214.51361,45595.81714,44345.63456,33219.00403,31162.39818,55607.86413,52226.27293,37354.01453,35272.66053,33383.04902,31284.05842,48675.51273,45334.56492,46627.65546,43094.33278,58085.07322,54487.82393,65116.87007,62730.33613,73599.31446,70970.25761,67864.3605,68035.73136,Pos
263,M189T6,1.711212749,-0.775019136,-5.31816646,8.42E-06,6.54E-05,DOWN,189.1227982,189.1223483,189.1231351,5.848616667,5.65135,5.984683333,21,17,4,3250.364,36479.92949,12430.41033,21318.17304,5816.788278,31136.3396,51529.25588,60020.00412,49477.87642,38754.95551,40218.164,33242.89387,35462.85471,28811.98705,21798.51725,23525.58617,25226.84211,43337.20017,35311.41508,34262.66976,33193.8853,11745.58861,13702.25665,15017.31328,17019.49082,13112.33489,23667.02536,23437.05247,24360.13887,28666.49678,22084.97088,20708.00669,22774.30073,22339.80831,23771.66111,26019.48525,29073.95346,Pos
264,M427T27,1.688732679,-0.755940972,-5.042256845,8.65E-06,6.69E-05,DOWN,427.3610428,427.3603027,427.3618603,26.81016667,26.733,26.8825,47,23,24,77604.211,903818.4066,270673.8665,535205.138,227626.443,1154430.484,1064075.191,1374275.403,1538731.524,775849.0617,774534.832,771263.8199,752298.1078,601621.2994,626222.8143,671631.516,728774.7207,1042378.622,1262862.877,1201337.142,871454.3739,495765.6816,434859.8021,838585.2197,800850.4023,422233.9141,408934.3696,721328.3344,819734.771,566537.6968,602900.6106,124552.4021,91096.38523,839149.3121,778682.8985,378784.4153,387891.4103,Pos
265,M773T25_1,1.795107055,-0.844069884,-5.120257886,8.71E-06,6.71E-05,DOWN,772.58503,772.5832347,772.5924633,24.55833333,24.51933333,24.921,67,23,23,95788.469,872642.3317,197144.9744,486122.7242,310173.5974,560104.1671,558088.0806,849823.743,823097.343,1073732.214,1117652.387,639082.5418,686538.2659,890434.8943,874123.5887,871373.5441,877146.4243,1097997.139,1195596.84,925319.8851,1007925.308,720829.4604,625756.1715,827820.3073,902443.0348,359784.3474,429994.2222,862561.7329,967271.9298,375118.0257,460699.2232,10757.04294,16050.88679,559294.8227,547540.9061,70292.38838,126906.8167,Pos
266,M401T27_5,2.185312312,-1.127839476,-5.041346746,8.98E-06,6.89E-05,DOWN,401.4004104,401.3995296,401.4030341,26.7155,26.68366667,26.98233333,45,23,18,9996.292,62451.32999,25271.34641,28577.75963,20423.51188,36608.7019,46694.232,67075.6606,66946.69604,86415.43405,93883.21354,41838.64147,47189.46357,35927.00983,44929.44213,63203.76072,80883.42144,91949.52788,122588.1894,92587.25357,85939.86398,32054.64989,45640.0625,57527.09746,70679.91416,16153.69312,17490.0102,55138.19475,71877.91149,25063.49507,18504.95047,2170.903457,1325.92635,33108.73788,30833.80488,9167.199328,7773.664061,Pos
267,M285T9_6,1.438777923,0.524843927,5.22207731,9.06E-06,6.93E-05,UP,285.1025756,285.1021544,285.1031499,8.558616667,8.5136,8.67295,46,22,24,4956.662,19758.52837,3616.136285,28428.1344,7245.966541,25141.42858,24690.88182,18683.38302,21790.86724,16169.04648,14441.72048,26681.27333,21668.03016,23428.81675,21370.89544,22806.54,19795.66074,15039.71276,12824.13332,21522.02244,18579.28186,24800.75944,24810.72321,20960.04231,20710.08222,28246.84141,27934.01146,19987.01734,23080.52812,31160.22716,27407.11406,44519.74208,44475.14792,29768.71335,30227.73703,33486.10879,31756.89094,Pos
268,M403T27_1,3.038985463,-1.603589774,-5.151139281,9.74E-06,7.42E-05,DOWN,403.3478406,403.3470718,403.3485796,26.70566667,26.67816667,26.87366667,41,23,18,19360.672,101408.629,55200.32221,33130.5297,32203.9186,27127.67909,29057.44742,103757.3768,133654.5746,145310.3907,176297.0725,55110.78193,60438.486,54983.00285,73617.98344,113830.91,145910.4383,157094.1288,226876.5648,171277.2613,141601.226,53667.50532,74548.61269,90965.75626,112184.6183,13193.20816,16041.28911,93539.43385,20971.59961,13115.21711,13563.98612,713.5249875,0,48669.40754,30316.59888,4665.986255,4490.038256,Pos
269,M99T4_1,2.060365416,-1.042900229,-5.119421898,1.01E-05,7.66E-05,DOWN,98.98447401,98.98426769,98.98470156,4.35535,4.0246,5.00955,54,23,23,17357.375,157307.9475,65205.08677,76349.53791,39565.17744,267351.5732,140110.2777,291264.4798,320898.6468,155485.938,154628.182,154908.7133,87947.35627,235066.0263,140330.5568,139614.0578,93399.24809,164141.932,153439.6823,143255.1432,143874.0791,23624.15422,9155.851682,25188.40624,31123.64824,89515.73831,99207.53739,105507.9928,55943.2506,73698.83732,59236.33266,53340.91883,63587.97314,63198.737,76843.90756,129382.2617,114248.7718,Pos
270,M147T6,1.392978338,-0.478172823,-5.203297301,1.01E-05,7.66E-05,DOWN,147.12066,147.1204748,147.1208738,5.769283333,5.712483333,5.823166667,47,23,24,27963.377,260701.2282,60528.42485,187153.8279,31177.21779,385126.0626,383848.4575,257592.6024,263875.7857,181964.2642,173498.4988,281098.7829,284489.8801,310679.2293,292958.2415,211180.7294,213974.2235,244460.6295,229220.0955,245375.0351,228950.5374,228832.5078,221875.8851,222423.1434,214298.2988,137295.3129,130747.3036,168961.1242,177632.2034,219158.1106,212337.0456,163789.7124,161078.377,179799.8155,164066.0642,176320.2621,170331.9819,Pos
