log2FoldChange,Cell.type,pval_sig,col.sign
0.790148036,Fibroblast,0.010365422,4
0.790148036,Fibroblast,0.010365422,4
0.789793598,Fibroblast,0.010365422,4
0.789793598,Fibroblast,0.010365422,4
0.789188307,Fibroblast,0.045188981,4
0.789188307,Fibroblast,0.045188981,4
0.780763838,Fibroblast,0.010365422,4
0.780763838,Fibroblast,0.010365422,4
0.778487315,Fibroblast,0.045188981,4
0.778487315,Fibroblast,0.045188981,4
0.7777341,Fibroblast,0.045188981,4
0.7777341,Fibroblast,0.045188981,4
0.775298521,Fibroblast,0.045188981,4
0.775298521,Fibroblast,0.045188981,4
0.756511029,Fibroblast,0.010365422,4
0.756511029,Fibroblast,0.010365422,4
0.756002697,Fibroblast,0.010365422,4
0.756002697,Fibroblast,0.010365422,4
0.750907679,Fibroblast,0.045188981,4
0.750907679,Fibroblast,0.045188981,4
0.745512877,Fibroblast,0.03576738,4
0.745512877,Fibroblast,0.03576738,4
0.735904074,Fibroblast,0.027007684,4
0.735904074,Fibroblast,0.027007684,4
0.735205357,Fibroblast,0.027007684,4
0.735205357,Fibroblast,0.027007684,4
0.73514007,Fibroblast,0.027007684,4
0.73514007,Fibroblast,0.027007684,4
0.722887954,Fibroblast,0.010365422,4
0.722887954,Fibroblast,0.010365422,4
0.72033346,Fibroblast,0.014319243,4
0.72033346,Fibroblast,0.014319243,4
0.718686652,Fibroblast,0.021205597,4
0.718686652,Fibroblast,0.021205597,4
0.718485516,Fibroblast,0.045188981,4
0.718485516,Fibroblast,0.045188981,4
0.708434397,Fibroblast,0.027007684,4
0.708434397,Fibroblast,0.027007684,4
0.706474773,Fibroblast,0.014319243,4
0.706474773,Fibroblast,0.014319243,4
0.706153096,Fibroblast,0.010365422,4
0.706153096,Fibroblast,0.010365422,4
0.703262594,Fibroblast,0.027007684,4
0.703262594,Fibroblast,0.027007684,4
0.699425434,Fibroblast,0.014319243,4
0.699425434,Fibroblast,0.014319243,4
0.69929966,Fibroblast,0.021205597,4
0.69929966,Fibroblast,0.021205597,4
0.697576038,Fibroblast,0.021205597,4
0.697576038,Fibroblast,0.021205597,4
0.695193311,Fibroblast,0.010365422,4
0.695193311,Fibroblast,0.010365422,4
0.687871821,Fibroblast,0.010365422,4
0.687871821,Fibroblast,0.010365422,4
0.686464217,Fibroblast,0.045188981,4
0.686464217,Fibroblast,0.045188981,4
0.681095141,Fibroblast,0.010365422,4
0.681095141,Fibroblast,0.010365422,4
0.672731965,Fibroblast,0.010365422,4
0.672731965,Fibroblast,0.010365422,4
0.665156326,Fibroblast,0.021205597,4
0.665156326,Fibroblast,0.021205597,4
0.664795996,Fibroblast,0.021205597,4
0.664795996,Fibroblast,0.021205597,4
0.656773681,Fibroblast,0.010365422,4
0.656773681,Fibroblast,0.010365422,4
0.653157197,Fibroblast,0.014319243,4
0.653157197,Fibroblast,0.014319243,4
0.643597245,Fibroblast,0.03576738,4
0.643597245,Fibroblast,0.03576738,4
0.637786974,Fibroblast,0.021205597,4
0.637786974,Fibroblast,0.021205597,4
0.632715562,Fibroblast,0.03576738,4
0.632715562,Fibroblast,0.03576738,4
0.618626787,Fibroblast,0.021205597,4
0.618626787,Fibroblast,0.021205597,4
0.618322134,Fibroblast,0.010365422,4
0.618322134,Fibroblast,0.010365422,4
0.616373087,Fibroblast,0.045188981,4
0.616373087,Fibroblast,0.045188981,4
0.594316718,Fibroblast,0.045188981,4
0.594316718,Fibroblast,0.045188981,4
0.594049219,Fibroblast,0.045188981,4
0.594049219,Fibroblast,0.045188981,4
-0.5917893,Fibroblast,0.014319243,3
-0.5917893,Fibroblast,0.014319243,3
-0.629804419,Fibroblast,0.014319243,3
-0.629804419,Fibroblast,0.014319243,3
-0.634949568,Fibroblast,0.045188981,3
-0.634949568,Fibroblast,0.045188981,3
-0.659408016,Fibroblast,0.010365422,3
-0.659408016,Fibroblast,0.010365422,3
-0.680664691,Fibroblast,0.045188981,3
-0.680664691,Fibroblast,0.045188981,3
-0.692804723,Fibroblast,0.027007684,3
-0.692804723,Fibroblast,0.027007684,3
-0.701129412,Fibroblast,0.014319243,3
-0.701129412,Fibroblast,0.014319243,3
-0.715724658,Fibroblast,0.010365422,3
-0.715724658,Fibroblast,0.010365422,3
-0.720626418,Fibroblast,0.027007684,3
-0.720626418,Fibroblast,0.027007684,3
-0.750257047,Fibroblast,0.010365422,3
-0.750257047,Fibroblast,0.010365422,3
-0.76229301,Fibroblast,0.045188981,3
-0.76229301,Fibroblast,0.045188981,3
-0.7762404,Fibroblast,0.010365422,3
-0.7762404,Fibroblast,0.010365422,3
-0.77789572,Fibroblast,0.027007684,3
-0.77789572,Fibroblast,0.027007684,3
-0.778746161,Fibroblast,0.03576738,3
-0.778746161,Fibroblast,0.03576738,3
-0.81084288,Fibroblast,0.014319243,3
-0.81084288,Fibroblast,0.014319243,3
-0.827231461,Fibroblast,0.03576738,3
-0.827231461,Fibroblast,0.03576738,3
-0.877839158,Fibroblast,0.021205597,3
-0.877839158,Fibroblast,0.021205597,3
-0.883026596,Fibroblast,0.014319243,3
-0.883026596,Fibroblast,0.014319243,3
-0.888713591,Fibroblast,0.03576738,3
-0.888713591,Fibroblast,0.03576738,3
-0.912648549,Fibroblast,0.027007684,3
-0.912648549,Fibroblast,0.027007684,3
-0.929135693,Fibroblast,0.03576738,3
-0.929135693,Fibroblast,0.03576738,3
-0.937292343,Fibroblast,0.027007684,3
-0.937292343,Fibroblast,0.027007684,3
-0.945835438,Fibroblast,0.027007684,3
-0.945835438,Fibroblast,0.027007684,3
-0.954178478,Fibroblast,0.027007684,3
-0.954178478,Fibroblast,0.027007684,3
-0.982987389,Fibroblast,0.027007684,3
-0.982987389,Fibroblast,0.027007684,3
-0.996160741,Fibroblast,0.010365422,3
-0.996160741,Fibroblast,0.010365422,3
-1.004829945,Fibroblast,0.03576738,3
-1.004829945,Fibroblast,0.03576738,3
-1.014650869,Fibroblast,0.045188981,3
-1.014650869,Fibroblast,0.045188981,3
-1.03934149,Fibroblast,0.027007684,3
-1.03934149,Fibroblast,0.027007684,3
-1.049189654,Fibroblast,0.027007684,3
-1.049189654,Fibroblast,0.027007684,3
-1.070317369,Fibroblast,0.010365422,3
-1.070317369,Fibroblast,0.010365422,3
-1.0708865,Fibroblast,0.010365422,3
-1.0708865,Fibroblast,0.010365422,3
-1.07249506,Fibroblast,0.010365422,3
-1.07249506,Fibroblast,0.010365422,3
-1.077219098,Fibroblast,0.010365422,3
-1.077219098,Fibroblast,0.010365422,3
-1.134509224,Fibroblast,0.03576738,3
-1.134509224,Fibroblast,0.03576738,3
-1.142846002,Fibroblast,0.03576738,3
-1.142846002,Fibroblast,0.03576738,3
-1.147062905,Fibroblast,0.010365422,3
-1.147062905,Fibroblast,0.010365422,3
-1.152497401,Fibroblast,0.010365422,3
-1.152497401,Fibroblast,0.010365422,3
-1.196540556,Fibroblast,0.010365422,3
-1.196540556,Fibroblast,0.010365422,3
-1.197446943,Fibroblast,0.010365422,3
-1.197446943,Fibroblast,0.010365422,3
-1.211366412,Fibroblast,0.014319243,3
-1.211366412,Fibroblast,0.014319243,3
-1.213870011,Fibroblast,0.014319243,3
-1.213870011,Fibroblast,0.014319243,3
-1.219973511,Fibroblast,0.045188981,3
-1.219973511,Fibroblast,0.045188981,3
-1.2223291,Fibroblast,0.027007684,3
-1.2223291,Fibroblast,0.027007684,3
-1.224591514,Fibroblast,0.010365422,3
-1.224591514,Fibroblast,0.010365422,3
-1.226641318,Fibroblast,0.027007684,3
-1.226641318,Fibroblast,0.027007684,3
-1.250627689,Fibroblast,0.027007684,3
-1.250627689,Fibroblast,0.027007684,3
-1.261323299,Fibroblast,0.045188981,3
-1.261323299,Fibroblast,0.045188981,3
-1.261588377,Fibroblast,0.03576738,3
-1.261588377,Fibroblast,0.03576738,3
-1.288426426,Fibroblast,0.03576738,3
-1.288426426,Fibroblast,0.03576738,3
-1.305417628,Fibroblast,0.045188981,3
-1.305417628,Fibroblast,0.045188981,3
-1.319528098,Fibroblast,0.021205597,3
-1.319528098,Fibroblast,0.021205597,3
-1.324872009,Fibroblast,0.045188981,3
-1.324872009,Fibroblast,0.045188981,3
-1.350756484,Fibroblast,0.021205597,3
-1.350756484,Fibroblast,0.021205597,3
-1.370932959,Fibroblast,0.03576738,3
-1.370932959,Fibroblast,0.03576738,3
-1.385529741,Fibroblast,0.010365422,3
-1.385529741,Fibroblast,0.010365422,3
-1.422496098,Fibroblast,0.03576738,3
-1.422496098,Fibroblast,0.03576738,3
-1.437455946,Fibroblast,0.03576738,3
-1.437455946,Fibroblast,0.03576738,3
-1.459339404,Fibroblast,0.027007684,3
-1.459339404,Fibroblast,0.027007684,3
-1.463170481,Fibroblast,0.014319243,3
