-log10pvalue	-log10qvalue	rank	basepairs
1317.86	1308.44	1	5
1316.17	1307.53	6	2
1316.15	1307.53	8	1
1314.62	1306.16	9	2
1314.47	1306.09	11	1
1314.45	1306.09	12	1
1313.66	1305.36	13	1
1312.91	1304.64	14	1
1312.78	1304.54	15	2
1312.02	1303.83	17	1
1311.95	1303.79	18	1
1311.09	1302.95	19	1
1311.05	1302.93	20	1
1310.33	1302.24	21	2
1310.24	1302.18	23	1
1310.19	1302.15	24	1
1309.61	1301.59	25	1
1309.48	1301.48	26	4
1309.39	1301.45	30	2
1309.33	1301.42	32	3
1307.94	1300.07	35	1
1307.77	1299.91	36	2
1307.70	1299.86	38	1
1307.64	1299.81	39	1
1306.95	1299.14	40	2
1306.83	1299.04	42	4
1306.80	1299.04	46	1
1305.94	1298.20	47	4
1305.27	1297.56	51	3
1305.13	1297.45	54	3
1304.57	1296.91	57	1
1304.34	1296.69	58	1
1304.24	1296.59	59	2
1303.58	1295.95	61	1
1302.65	1295.03	62	2
1301.89	1294.28	64	1
1301.20	1293.60	65	1
1300.94	1293.34	66	2
1300.21	1292.63	68	2
1298.52	1290.95	70	2
1297.83	1290.27	72	2
1296.60	1289.05	74	1
1295.15	1287.61	75	2
1294.48	1286.95	77	1
1293.24	1285.72	78	1
1291.55	1284.03	79	3
1291.11	1283.61	82	1
1289.85	1282.35	83	3
1289.80	1282.32	86	1
1288.17	1280.69	87	3
1286.73	1279.27	90	1
1286.48	1279.02	91	2
1285.57	1278.12	93	1
1284.78	1277.34	94	1
1283.08	1275.64	95	1
1282.18	1274.75	96	1
1281.68	1274.25	97	1
1281.40	1273.97	98	3
1280.68	1273.27	101	1
1280.00	1272.59	102	1
1279.71	1272.31	103	3
1278.02	1270.63	106	2
1277.08	1269.70	108	1
1276.33	1268.95	109	2
1276.02	1268.65	111	1
1274.33	1266.96	112	1
1272.67	1265.31	113	1
1272.02	1264.66	114	1
1271.00	1263.64	115	1
1269.32	1261.97	116	3
1267.65	1260.31	119	4
1265.97	1258.64	123	3
1265.25	1257.93	126	3
1262.63	1255.32	129	2
1261.86	1254.56	131	1
1260.96	1253.66	132	1
1259.28	1251.99	133	3
1257.60	1250.32	136	1
