-log10pvalue	-log10qvalue	rank	basepairs
1451.33	1441.91	1	1
1451.27	1441.91	2	1
1451.25	1441.91	3	1
1450.67	1441.86	4	1
1450.26	1441.54	5	1
1450.04	1441.40	6	1
1449.79	1441.22	7	1
1449.67	1441.16	8	1
1449.40	1440.94	9	1
1448.05	1439.63	10	1
1445.00	1436.62	11	1
1443.02	1434.68	12	1
1438.74	1430.44	13	1
1438.53	1430.26	14	1
1436.61	1428.37	15	1
1433.32	1425.11	16	1
1428.29	1420.10	17	1
1422.19	1414.03	18	1
1417.94	1409.80	19	1
1415.77	1407.65	20	1
1413.10	1405.01	21	1
1413.07	1405.00	22	1
1411.87	1403.81	23	1
1407.65	1399.61	24	1
1404.66	1396.64	25	1
1402.32	1394.32	26	1
1400.13	1392.14	27	1
1398.10	1390.13	28	1
1397.24	1389.29	29	1
1395.36	1387.42	30	1
1391.99	1384.06	31	1
1390.95	1383.04	32	1
1390.43	1382.53	33	1
1389.92	1382.03	34	1
1388.53	1380.66	35	1
1388.24	1380.38	36	1
1387.96	1380.11	37	1
1384.56	1376.72	38	1
1384.54	1376.71	39	1
1384.09	1376.28	40	1
1384.03	1376.23	41	1
1382.55	1374.76	42	1
1381.83	1374.05	43	1
1381.71	1373.94	44	1
1380.95	1373.19	45	1
1380.14	1372.39	46	1
1378.26	1370.52	47	1
1377.91	1370.17	48	1
1376.40	1368.67	49	1
1373.92	1366.20	50	1
1373.71	1366.00	51	1
1371.37	1363.67	52	1
1370.69	1363.00	53	1
1369.21	1361.53	54	1
1366.21	1358.53	55	1
1365.90	1358.23	56	1
1362.58	1354.92	57	1
1361.13	1353.48	58	1
1360.74	1353.09	59	1
1360.39	1352.75	60	1
1358.13	1350.50	61	1
1357.46	1349.84	62	1
1355.28	1347.66	63	1
1355.10	1347.49	64	1
1354.29	1346.69	65	1
1351.49	1343.89	66	1
1351.21	1343.62	67	1
1350.09	1342.51	68	1
1349.66	1342.08	69	1
1347.77	1340.20	70	1
1347.29	1339.72	71	1
1345.81	1338.25	72	1
1343.28	1335.73	73	1
1340.95	1333.40	74	1
1339.46	1331.92	75	1
1338.74	1331.20	76	1
1338.30	1330.77	77	1
1337.83	1330.31	78	1
1336.78	1329.26	79	1
1335.54	1328.03	80	1
1333.85	1326.34	81	1
1333.66	1326.16	82	1
1332.79	1325.29	83	1
1331.92	1324.43	84	1
1331.42	1323.93	85	1
1330.08	1322.60	86	1
1328.46	1320.98	87	1
1327.72	1320.25	88	1
1326.74	1319.27	89	1
1324.11	1316.65	90	1
1323.09	1315.63	91	1
1320.18	1312.73	92	1
1317.61	1310.16	93	1
1317.31	1309.87	94	1
1317.24	1309.80	95	1
1314.64	1307.21	96	1
1313.96	1306.53	97	1
1311.10	1303.67	98	1
1310.63	1303.21	99	1
1309.96	1302.54	100	1
1307.06	1299.65	101	1
1306.60	1299.19	102	1
1302.60	1295.20	103	1
1299.50	1292.10	104	1
1298.88	1291.48	105	1
1297.96	1290.57	106	1
1297.13	1289.74	107	1
1290.33	1282.95	108	1
1289.91	1282.53	109	1
1286.58	1279.20	110	1
1286.57	1279.20	111	1
1285.19	1277.82	112	1
1280.14	1272.78	113	1
1279.89	1272.53	114	1
1276.56	1269.20	115	1
1275.75	1268.40	116	1
1274.93	1267.58	117	1
1274.30	1266.95	118	1
1271.68	1264.34	119	1
1271.16	1263.82	120	1
1270.08	1262.75	121	1
1265.73	1258.40	122	1
1265.43	1258.10	123	1
1261.20	1253.88	124	1
1260.07	1252.75	125	1
1259.58	1252.26	126	1
1257.81	1250.50	127	1
1256.69	1249.38	128	1
1256.48	1249.17	129	1
