-log10pvalue	-log10qvalue	rank	basepairs
2207.13	2200.07	227	1
2205.57	2198.51	228	1
2199.53	2192.47	229	1
2197.02	2189.96	230	1
2186.15	2179.10	231	1
2122.35	2115.30	232	1
2096.87	2089.82	233	1
2016.92	2009.87	234	1
1978.53	1971.48	235	1
1926.02	1918.98	236	1
1901.52	1894.48	237	1
1807.18	1800.14	238	1
1776.28	1769.24	239	1
1737.50	1730.46	240	1
1578.40	1571.37	241	1
1578.18	1571.15	242	1
1577.73	1570.70	243	1
1574.84	1567.81	244	1
1573.51	1566.48	245	1
1572.17	1565.14	246	1
1571.95	1564.93	247	1
1569.51	1562.49	248	1
1569.07	1562.05	249	1
1566.63	1559.61	250	1
1563.97	1556.95	251	1
1562.42	1555.40	252	1
1560.64	1553.63	253	1
1560.42	1553.41	254	1
1560.20	1553.19	255	1
1559.32	1552.31	256	1
1557.10	1550.09	257	1
1553.34	1546.33	258	1
1551.14	1544.14	259	1
1550.69	1543.69	260	1
1550.13	1543.13	261	1
1548.71	1541.71	262	1
1548.05	1541.05	263	1
1546.72	1539.72	264	1
1542.75	1535.76	265	1
1540.33	1533.34	266	1
1533.48	1526.49	267	1
1533.07	1526.08	268	1
1528.90	1521.91	269	1
1528.02	1521.03	270	1
1527.79	1520.81	271	1
1526.27	1519.29	272	1
1524.08	1517.10	273	1
1522.98	1516.00	274	1
1515.98	1509.00	275	1
1515.10	1508.12	276	1
1491.13	1484.16	277	1
1472.51	1465.54	278	1
1445.62	1438.65	279	1
1418.94	1411.97	280	1
1403.24	1396.27	281	1
1391.00	1384.03	282	1
1350.99	1344.02	283	1
1339.12	1332.16	284	1
1335.05	1328.09	285	1
1323.42	1316.46	286	1
1311.19	1304.23	287	1
1310.45	1303.49	288	1
1301.63	1294.67	289	1
1284.06	1277.11	290	1
1276.54	1269.59	291	1
1270.25	1263.30	292	1
1265.01	1258.06	293	1
1257.30	1250.35	294	1
1245.82	1238.87	295	1
1237.79	1230.84	296	1
1224.58	1217.64	297	1
1209.66	1202.72	298	1
1193.44	1186.50	299	1
1189.09	1182.15	300	1
1187.92	1180.98	301	1
1187.72	1180.78	302	3
1187.28	1180.35	305	1
1184.77	1177.84	306	1
1181.23	1174.30	307	1
1175.54	1168.61	308	1
1172.76	1165.83	309	1
1169.47	1162.54	310	1
1168.59	1161.67	311	1
1164.19	1157.27	312	1
1163.80	1156.88	313	1
1160.08	1153.16	314	1
1157.95	1151.03	315	1
1156.20	1149.28	316	1
1151.92	1145.00	317	1
1148.43	1141.52	318	1
1144.55	1137.64	319	1
1140.48	1133.57	320	1
1137.19	1130.28	321	1
1132.75	1125.84	322	1
1129.67	1122.76	323	1
1125.05	1118.14	324	1
1120.70	1113.79	325	1
1115.64	1108.74	326	1
1109.01	1102.11	327	1
1108.58	1101.68	328	1
1107.03	1100.13	329	1
1104.53	1097.63	330	1
1098.83	1091.93	331	1
1097.33	1090.43	332	1
1094.31	1087.42	333	1
1089.71	1082.82	334	1
1086.34	1079.45	335	1
1083.27	1076.38	336	1
1081.63	1074.74	337	1
1080.59	1073.70	338	1
1080.54	1073.65	339	1
1079.09	1072.20	340	1
1078.73	1071.85	341	1
1076.58	1069.70	342	1
1073.11	1066.23	343	1
1072.38	1065.50	344	1
1067.80	1060.92	345	1
1065.98	1059.10	346	1
1061.48	1054.60	347	1
1058.29	1051.41	348	1
1057.10	1050.23	349	1
1056.63	1049.76	350	1
1055.67	1048.80	351	1
1051.74	1044.87	352	1
1047.64	1040.77	353	1
1044.66	1037.79	354	1
1043.67	1036.80	355	1
1041.25	1034.38	356	1
1040.50	1033.64	357	1
1037.10	1030.24	358	1
1036.42	1029.56	359	1
1034.01	1027.15	360	1
1033.69	1026.83	361	1
1028.26	1021.40	362	1
1027.16	1020.30	363	1
1022.72	1015.86	364	1
1018.39	1011.54	365	1
1018.11	1011.26	366	1
1011.49	1004.64	367	1
990.25	983.40	368	1
987.27	980.42	369	1
984.95	978.10	370	1
980.71	973.86	371	1
965.48	958.63	372	1
940.81	933.96	373	1
936.12	929.28	374	1
930.10	923.26	375	1
926.05	919.21	376	1
919.17	912.33	377	1
