-log10pvalue	-log10qvalue	rank	basepairs
4857.72	4848.30	1	1
4822.53	4813.41	2	1
4780.92	4771.98	3	1
4753.17	4744.36	4	1
4721.14	4712.42	5	1
4678.64	4670.00	6	1
4662.10	4653.53	7	1
4637.49	4628.98	8	1
4582.54	4574.08	9	1
4514.74	4506.32	10	1
4506.53	4498.15	11	1
4445.97	4437.63	12	1
4401.93	4393.63	13	1
4397.59	4389.32	14	1
4397.21	4388.97	15	1
4396.47	4388.26	16	1
4395.79	4387.60	17	1
4395.68	4387.52	18	1
4395.34	4387.20	19	1
4392.60	4384.48	20	1
4390.54	4382.45	21	1
4389.47	4381.40	22	1
4389.13	4381.07	23	1
4388.10	4380.06	24	1
4386.38	4378.36	25	1
4384.27	4376.27	26	1
4383.06	4375.07	27	1
4379.34	4371.37	28	1
4376.57	4368.62	29	1
4376.18	4368.24	30	1
4374.10	4366.17	31	1
4371.63	4363.72	32	1
4370.68	4362.78	33	1
4369.13	4361.24	34	1
4368.85	4360.98	35	1
4367.08	4359.22	36	1
4365.21	4357.36	37	1
4362.60	4354.76	38	1
4361.85	4354.02	39	1
4357.55	4349.74	40	1
4357.02	4349.22	41	1
4356.96	4349.17	42	1
4356.95	4349.17	43	1
4355.85	4348.08	44	1
4355.82	4348.06	45	1
4354.85	4347.10	46	1
4354.79	4347.05	47	1
4354.50	4346.76	48	1
4353.03	4345.30	49	1
4351.22	4343.50	50	1
4348.82	4341.11	51	1
4344.31	4336.61	52	1
4342.38	4334.69	53	1
4339.22	4331.54	54	1
4338.43	4330.75	55	1
4335.75	4328.08	56	1
4335.10	4327.44	57	1
4331.10	4323.45	58	1
4329.93	4322.28	59	1
4327.35	4319.71	60	1
4327.28	4319.65	61	1
4326.72	4319.10	62	1
4323.41	4315.79	63	1
4318.58	4310.97	64	1
4317.77	4310.17	65	1
4315.07	4307.47	66	1
4313.53	4305.94	67	1
4307.50	4299.92	68	1
4306.14	4298.56	69	1
4305.50	4297.93	70	1
4305.29	4297.72	71	1
4304.89	4297.33	72	1
4304.63	4297.08	73	1
4301.33	4293.78	74	1
4301.18	4293.64	75	1
4299.27	4291.73	76	1
4298.03	4290.50	77	1
4296.33	4288.81	78	1
4296.10	4288.58	79	1
4294.01	4286.50	80	1
4292.03	4284.52	81	1
4288.56	4281.06	82	1
4287.63	4280.13	83	1
4287.41	4279.92	84	1
4286.80	4279.31	85	1
4286.68	4279.20	86	1
4286.32	4278.84	87	1
4284.84	4277.37	88	1
4282.97	4275.50	89	1
4279.68	4272.22	90	1
4277.72	4270.26	91	1
4277.53	4270.08	92	1
4276.56	4269.11	93	1
4275.31	4267.87	94	1
4273.52	4266.08	95	1
4272.97	4265.54	96	1
4271.34	4263.91	97	1
4268.41	4260.98	98	1
4267.35	4259.93	99	1
4265.92	4258.50	100	2
4265.38	4257.97	102	1
4264.76	4257.36	103	1
4260.85	4253.45	104	1
4260.47	4253.07	105	1
4259.70	4252.31	106	1
4257.06	4249.67	107	1
4255.32	4247.94	108	1
4254.68	4247.30	109	1
4251.68	4244.30	110	1
4249.96	4242.59	111	1
4249.92	4242.55	112	1
4248.60	4241.24	113	1
4245.47	4238.11	114	1
4244.02	4236.66	115	1
4241.93	4234.58	116	1
4237.14	4229.79	117	1
4231.37	4224.02	118	1
4229.78	4222.44	119	1
4223.39	4216.05	120	1
4218.07	4210.74	121	1
4212.17	4204.84	122	1
4209.38	4202.05	123	1
4200.35	4193.03	124	1
4199.07	4191.75	125	1
4192.39	4185.07	126	1
4189.68	4182.37	127	1
4177.64	4170.33	128	1
4177.09	4169.78	129	1
4169.68	4162.38	130	1
4155.39	4148.09	131	1
4151.87	4144.57	132	1
4142.56	4135.27	133	1
4141.85	4134.56	134	1
4133.95	4126.66	135	1
4123.82	4116.54	136	1
4114.81	4107.53	137	1
4107.33	4100.05	138	1
4099.29	4092.02	139	1
4090.06	4082.79	140	1
4083.05	4075.78	141	1
4079.75	4072.49	142	1
4076.29	4069.03	143	1
4075.31	4068.05	144	1
4073.76	4066.50	145	1
4071.49	4064.24	146	1
4067.86	4060.61	147	1
4065.67	4058.42	148	1
4061.88	4054.64	149	1
4058.77	4051.53	150	1
4054.98	4047.74	151	1
4051.62	4044.38	152	1
4043.39	4036.16	153	1
4041.62	4034.39	154	1
4035.68	4028.45	155	1
4029.48	4022.26	156	1
4021.37	4014.15	157	1
4015.52	4008.30	158	1
4013.75	4006.53	159	1
4006.91	3999.70	160	1
4004.59	3997.38	161	1
3995.35	3988.14	162	1
3985.62	3978.42	163	1
3977.69	3970.49	164	1
3968.95	3961.75	165	1
3959.43	3952.23	166	1
3952.37	3945.18	167	1
3952.05	3944.86	168	1
3947.29	3940.10	169	1
3939.86	3932.67	170	1
3936.40	3929.22	171	1
3934.75	3927.57	172	1
3927.68	3920.50	173	1
3916.04	3908.86	174	1
3915.57	3908.40	175	1
3905.05	3897.88	176	1
3896.62	3889.45	177	1
3893.37	3886.20	178	1
3891.51	3884.35	179	1
3890.20	3883.04	180	1
3880.11	3872.95	181	1
3875.06	3867.90	182	1
3871.01	3863.86	183	1
3870.24	3863.09	184	1
3866.43	3859.28	185	1
3863.47	3856.32	186	1
3863.12	3855.97	187	1
3857.38	3850.24	188	1
3857.19	3850.05	189	1
3854.65	3847.51	190	1
3848.67	3841.53	191	1
3838.01	3830.88	192	1
3824.26	3817.13	193	1
3799.09	3791.96	194	1
3780.07	3772.94	195	1
3760.73	3753.61	196	1
3757.11	3749.99	197	1
3737.49	3730.37	198	1
3724.53	3717.41	199	1
3712.03	3704.91	200	1
3693.52	3686.41	201	1
3676.40	3669.29	202	1
3672.19	3665.08	203	1
3662.04	3654.93	204	1
3659.76	3652.65	205	1
3659.74	3652.64	206	1
3654.15	3647.05	207	1
3572.14	3565.04	208	1
3566.51	3559.41	209	1
3545.89	3538.80	210	1
3539.06	3531.97	211	1
3526.08	3518.99	212	1
3520.57	3513.48	213	1
3506.54	3499.45	214	1
3503.19	3496.11	215	1
3475.26	3468.18	216	1
3470.68	3463.60	217	1
3468.93	3461.85	218	1
3467.27	3460.19	219	1
3461.98	3454.91	220	1
3459.38	3452.31	221	1
3458.82	3451.75	222	1
3455.98	3448.91	223	1
3454.13	3447.06	224	1
3450.97	3443.91	225	1
3445.52	3438.46	226	1
3441.33	3434.27	227	1
3439.95	3432.89	228	1
3437.81	3430.75	229	1
3429.87	3422.81	230	1
3426.93	3419.88	231	1
3405.80	3398.75	232	1
3361.46	3354.41	233	1
3347.65	3340.60	234	1
3336.98	3329.93	235	1
3162.30	3155.26	236	1
3150.60	3143.56	237	1
3140.20	3133.16	238	1
3014.49	3007.45	239	1
3003.20	2996.16	240	1
2888.92	2881.89	241	1
2883.86	2876.83	242	1
2804.79	2797.76	243	1
2787.56	2780.53	244	1
2756.22	2749.19	245	1
2549.37	2542.34	246	1
2500.30	2493.28	247	1
2431.53	2424.51	248	1
2360.09	2353.07	249	1
2352.46	2345.44	250	1
2350.30	2343.28	251	1
2219.19	2212.17	252	1
2103.08	2096.07	253	1
2101.63	2094.62	254	1
2100.91	2093.90	255	1
2088.59	2081.58	256	1
2085.94	2078.93	257	1
2082.59	2075.58	258	1
2081.60	2074.60	259	1
2070.53	2063.53	260	1
2060.44	2053.44	261	1
2059.73	2052.73	262	1
2052.90	2045.90	263	1
2052.54	2045.54	264	1
2038.19	2031.20	265	1
2034.16	2027.17	266	1
2025.56	2018.57	267	1
2018.66	2011.67	268	1
2015.57	2008.58	269	1
2008.92	2001.93	270	1
2002.99	1996.01	271	1
1998.01	1991.03	272	1
1993.75	1986.77	273	2
1989.26	1982.28	275	1
1984.30	1977.32	276	1
1979.58	1972.61	277	1
1978.17	1971.20	278	1
1977.93	1970.96	279	1
1976.28	1969.31	280	2
1975.58	1968.61	282	1
1974.87	1967.90	283	1
1973.93	1966.97	284	1
1972.98	1966.02	285	1
1970.63	1963.67	286	1
1970.16	1963.20	287	1
1969.45	1962.49	288	1
1967.81	1960.85	289	1
1967.10	1960.15	290	2
1964.75	1957.80	292	1
1964.04	1957.09	293	1
1963.81	1956.86	294	1
1963.34	1956.39	295	1
1961.22	1954.27	296	2
1956.76	1949.82	298	1
1942.24	1935.30	299	1
1930.32	1923.38	300	1
1921.46	1914.52	301	1
1913.09	1906.15	302	1
1894.53	1887.59	303	1
1884.75	1877.82	304	1
1876.03	1869.10	305	1
1859.48	1852.55	306	1
1825.30	1818.37	307	1
1812.71	1805.78	308	1
1803.40	1796.47	309	1
1799.17	1792.24	310	1
1774.82	1767.90	311	1
1773.43	1766.51	312	1
1757.78	1750.86	313	1
1749.86	1742.94	314	1
1723.97	1717.05	315	1
1714.10	1707.18	316	1
1692.64	1685.72	317	1
1686.55	1679.64	318	1
1680.02	1673.11	319	1
1659.59	1652.68	320	1
1640.77	1633.86	321	1
1622.81	1615.90	322	1
1617.80	1610.89	323	1
1613.66	1606.75	324	1
1612.34	1605.43	325	1
1600.04	1593.14	326	1
1598.25	1591.35	327	1
1597.45	1590.55	328	1
1588.63	1581.73	329	1
1587.87	1580.97	330	1
1582.62	1575.72	331	1
1573.84	1566.94	332	1
1570.63	1563.74	333	1
1562.52	1555.63	334	1
1547.19	1540.30	335	1
1532.99	1526.10	336	1
1522.96	1516.07	337	1
