-log10pvalue	-log10qvalue	rank	basepairs
2443.94	2434.52	1	1
2439.73	2430.61	2	1
2438.07	2429.13	3	1
2432.33	2423.52	4	1
2429.54	2420.82	5	1
2428.16	2419.52	6	1
2427.00	2418.43	7	1
2423.46	2414.95	8	1
2418.35	2409.89	9	1
2416.76	2408.34	10	1
2410.27	2401.89	11	1
2409.73	2401.39	12	1
2403.06	2394.76	13	1
2397.87	2389.60	14	1
2394.66	2386.42	15	1
2389.21	2381.00	16	1
2387.86	2379.67	17	1
2382.94	2374.78	18	1
2380.77	2372.63	19	1
2373.25	2365.13	20	1
2370.14	2362.05	21	1
2369.12	2361.05	22	1
2367.92	2359.86	23	1
2366.58	2358.54	24	1
2364.81	2356.79	25	1
2364.08	2356.08	26	1
2360.10	2352.11	27	1
2358.65	2350.68	28	1
2354.21	2346.26	29	1
2353.27	2345.33	30	1
2348.29	2340.36	31	1
2346.98	2339.07	32	1
2336.59	2328.69	33	1
2336.46	2328.57	34	1
2329.61	2321.74	35	1
2325.75	2317.89	36	1
2324.78	2316.93	37	1
2321.00	2313.16	38	1
2320.23	2312.40	39	1
2318.44	2310.63	40	1
2318.15	2310.35	41	1
2313.37	2305.58	42	1
2309.50	2301.72	43	1
2306.25	2298.48	44	1
2303.19	2295.43	45	1
2301.83	2294.08	46	1
2300.30	2292.56	47	1
2295.19	2287.45	48	1
2291.48	2283.75	49	1
2288.54	2280.82	50	1
2286.58	2278.87	51	1
2285.27	2277.57	52	1
2282.23	2274.54	53	1
2280.39	2272.71	54	1
2279.80	2272.12	55	1
2276.41	2268.74	56	1
2272.46	2264.80	57	1
2271.39	2263.74	58	1
2267.98	2260.33	59	1
2263.62	2255.98	60	1
2262.31	2254.68	61	1
2258.71	2251.09	62	1
2253.76	2246.14	63	1
2251.32	2243.71	64	1
2245.17	2237.57	65	1
2241.90	2234.30	66	1
2239.67	2232.08	67	1
2235.79	2228.21	68	1
2235.07	2227.49	69	1
2231.46	2223.89	70	1
2230.31	2222.74	71	1
2229.88	2222.32	72	1
2229.26	2221.71	73	1
2229.00	2221.45	74	1
2228.01	2220.47	75	1
2227.37	2219.83	76	1
2227.30	2219.77	77	1
2226.98	2219.46	78	1
2226.76	2219.24	79	1
2225.41	2217.90	80	1
2225.26	2217.75	81	1
2225.05	2217.55	82	1
2222.86	2215.36	83	1
2218.29	2210.80	84	1
2214.33	2206.84	85	1
2207.86	2200.38	86	1
2203.60	2196.12	87	1
2196.59	2189.12	88	1
2189.63	2182.16	89	1
2183.33	2175.87	90	1
2181.17	2173.71	91	1
2177.37	2169.92	92	1
2172.10	2164.65	93	1
2165.19	2157.75	94	1
2157.32	2149.88	95	1
2151.85	2144.42	96	1
2147.67	2140.24	97	1
2141.75	2134.32	98	1
2134.44	2127.02	99	1
2133.01	2125.59	100	1
2126.55	2119.14	101	1
2119.40	2111.99	102	1
2113.44	2106.04	103	1
2109.48	2102.08	104	1
2103.55	2096.15	105	1
2098.81	2091.42	106	1
2093.16	2085.77	107	1
2092.66	2085.28	108	1
2088.26	2080.88	109	1
2081.66	2074.28	110	1
2078.48	2071.11	111	1
2073.73	2066.36	112	1
2073.21	2065.85	113	1
2070.32	2062.96	114	1
2063.13	2055.77	115	1
2057.98	2050.63	116	1
2053.80	2046.45	117	1
2046.96	2039.61	118	1
2046.77	2039.43	119	1
2042.89	2035.55	120	1
2039.47	2032.14	121	1
2033.91	2026.58	122	1
2030.62	2023.29	123	1
2022.00	2014.68	124	1
2016.72	2009.40	125	1
2007.08	1999.76	126	1
2005.58	1998.27	127	1
1929.55	1922.24	128	1
1922.47	1915.16	129	1
1856.18	1848.88	130	1
1853.81	1846.51	131	1
1818.48	1811.18	132	1
1784.67	1777.38	133	1
1771.46	1764.17	134	1
1691.60	1684.31	135	1
1643.32	1636.04	136	1
1632.17	1624.89	137	1
1602.05	1594.77	138	1
1565.78	1558.51	139	1
1520.98	1513.71	140	1
1464.34	1457.07	141	1
1449.42	1442.16	142	1
1441.65	1434.39	143	1
1424.43	1417.17	144	1
1417.46	1410.20	145	1
1383.34	1376.09	146	1
1347.55	1340.30	147	1
1340.08	1332.83	148	1
1310.15	1302.91	149	1
1297.74	1290.50	150	1
1267.31	1260.07	151	1
1265.08	1257.84	152	1
1259.10	1251.87	153	1
1235.14	1227.91	154	1
1223.03	1215.80	155	1
1217.60	1210.38	156	1
1213.34	1206.12	157	1
1209.08	1201.86	158	1
1206.66	1199.44	159	1
1194.89	1187.68	160	1
1189.55	1182.34	161	1
1185.20	1177.99	162	1
1180.29	1173.09	163	1
1174.06	1166.86	164	1
1170.76	1163.56	165	1
1164.66	1157.46	166	1
1156.10	1148.91	167	1
1144.66	1137.47	168	1
1126.22	1119.03	169	1
1112.72	1105.53	170	1
1109.21	1102.03	171	1
1082.89	1075.71	172	1
1080.03	1072.85	173	1
1066.28	1059.10	174	1
1057.47	1050.30	175	1
1057.41	1050.24	176	1
1054.64	1047.47	177	1
1054.36	1047.19	178	1
1052.79	1045.63	179	1
1052.66	1045.50	180	1
1050.08	1042.92	181	1
1048.49	1041.33	182	1
1045.50	1038.35	183	1
1040.01	1032.86	184	1
1036.11	1028.96	185	1
1033.08	1025.93	186	1
1031.77	1024.62	187	1
1024.77	1017.63	188	1
1024.16	1017.02	189	1
1022.15	1015.01	190	1
1021.13	1013.99	191	1
